date,open,high,low,close,volume
2010-01-04 00:00:00+05:30,520.0,520.0,487.0,512.6,36760407
2010-01-05 00:00:00+05:30,548.05,548.05,507.75,510.3,10260262
2010-01-06 00:00:00+05:30,514.7,521.65,510.3,518.55,11362860
2010-01-07 00:00:00+05:30,518.55,531.4,513.75,527.15,12564845
2010-01-08 00:00:00+05:30,528.05,530.85,522.35,525.75,7247014
2010-01-11 00:00:00+05:30,540.8,547.95,500.45,515.45,90478691
2010-01-12 00:00:00+05:30,521.9,542.05,513.3,516.8,15726732
2010-01-13 00:00:00+05:30,518.55,520.45,509.3,518.8,7366930
2010-01-14 00:00:00+05:30,517.6,536.1,517.6,534.6,11772386
2010-01-15 00:00:00+05:30,536.55,542.8,526.65,529.4,9000701
2010-01-18 00:00:00+05:30,527.6,532.1,520.45,524.0,6797158
2010-01-19 00:00:00+05:30,524.25,527.15,516.0,517.1,6265975
2010-01-20 00:00:00+05:30,521.9,522.85,510.9,513.55,9271397
2010-01-21 00:00:00+05:30,512.35,513.3,500.55,502.35,8926219
2010-01-22 00:00:00+05:30,496.15,510.45,490.65,502.25,19121934
2010-01-25 00:00:00+05:30,500.25,502.55,494.1,496.65,6423581
2010-01-27 00:00:00+05:30,492.8,500.45,486.15,489.75,11915242
2010-01-28 00:00:00+05:30,495.65,498.75,488.5,494.3,15934380
2010-01-29 00:00:00+05:30,492.3,501.3,485.25,498.6,11190814
2010-02-01 00:00:00+05:30,494.45,502.8,493.55,498.25,5819072
2010-02-02 00:00:00+05:30,501.4,503.45,488.1,489.6,8272832
2010-02-03 00:00:00+05:30,491.4,499.65,491.4,492.8,7219252
2010-02-04 00:00:00+05:30,494.7,494.7,483.25,485.75,5743167
2010-02-05 00:00:00+05:30,464.7,480.3,464.7,467.9,14332196
2010-02-06 00:00:00+05:30,471.85,475.4,469.65,473.65,1358446
2010-02-08 00:00:00+05:30,469.45,478.7,464.7,473.9,12419528
2010-02-09 00:00:00+05:30,473.65,475.65,468.35,473.4,6854634
2010-02-10 00:00:00+05:30,476.55,476.55,468.0,469.5,8758319
2010-02-11 00:00:00+05:30,471.5,486.05,471.1,483.85,11246958
2010-02-15 00:00:00+05:30,489.45,489.45,480.2,481.35,6474103
2010-02-16 00:00:00+05:30,481.4,486.6,479.0,485.05,4828860
2010-02-17 00:00:00+05:30,488.5,494.6,487.1,492.1,7496399
2010-02-18 00:00:00+05:30,490.9,494.85,474.2,475.55,9512686
2010-02-19 00:00:00+05:30,474.2,474.2,465.7,468.6,8515293
2010-02-22 00:00:00+05:30,474.35,476.6,462.3,466.1,6087261
2010-02-23 00:00:00+05:30,464.2,468.5,462.3,464.85,6223898
2010-02-24 00:00:00+05:30,462.3,469.8,460.7,466.5,5989202
2010-02-25 00:00:00+05:30,467.1,469.45,457.15,459.0,9090602
2010-02-26 00:00:00+05:30,461.85,474.2,460.5,466.55,10829278
2010-03-02 00:00:00+05:30,469.45,476.1,466.8,468.6,8734026
2010-03-03 00:00:00+05:30,470.9,489.95,470.9,488.4,12769182
2010-03-04 00:00:00+05:30,495.65,495.65,480.4,483.25,9966928
2010-03-05 00:00:00+05:30,487.1,489.0,479.05,481.25,5647198
2010-03-08 00:00:00+05:30,486.7,489.45,477.55,478.55,5727194
2010-03-09 00:00:00+05:30,479.7,482.2,470.9,472.0,8373802
2010-03-10 00:00:00+05:30,474.2,485.6,471.5,480.75,11897827
2010-03-11 00:00:00+05:30,481.35,486.15,479.95,484.45,6994557
2010-03-12 00:00:00+05:30,483.75,492.35,483.25,486.9,10711303
2010-03-15 00:00:00+05:30,487.1,491.85,482.85,489.95,8696187
2010-03-16 00:00:00+05:30,491.85,510.8,490.4,509.0,16306204
2010-03-17 00:00:00+05:30,512.25,515.9,507.95,509.8,10359373
2010-03-18 00:00:00+05:30,511.85,515.5,507.15,513.3,7334435
2010-03-19 00:00:00+05:30,514.15,522.6,510.05,520.5,9466467
2010-03-22 00:00:00+05:30,506.15,523.8,506.15,511.85,9816937
2010-03-23 00:00:00+05:30,513.75,521.4,513.3,520.15,9594906
2010-03-25 00:00:00+05:30,522.35,522.85,513.5,520.2,11015682
2010-03-26 00:00:00+05:30,522.85,529.5,521.95,524.5,8669240
2010-03-29 00:00:00+05:30,526.0,529.0,519.95,521.05,9712046
2010-03-30 00:00:00+05:30,522.35,527.0,516.15,518.6,9083279
2010-03-31 00:00:00+05:30,520.9,521.9,510.6,512.0,10382507
2010-04-01 00:00:00+05:30,513.75,523.55,513.3,520.5,6004735
2010-04-05 00:00:00+05:30,522.6,538.4,522.6,536.6,9550489
2010-04-06 00:00:00+05:30,537.6,540.0,533.9,535.3,5986443
2010-04-07 00:00:00+05:30,536.15,547.95,535.25,538.4,9697077
2010-04-08 00:00:00+05:30,540.0,541.65,524.95,527.4,7061537
2010-04-09 00:00:00+05:30,528.15,539.05,528.15,536.05,8070205
2010-04-12 00:00:00+05:30,545.7,545.7,535.05,537.3,6090973
2010-04-13 00:00:00+05:30,537.6,540.45,529.65,534.2,6700799
2010-04-15 00:00:00+05:30,536.15,540.9,518.1,519.85,11648305
2010-04-16 00:00:00+05:30,517.65,521.9,510.5,516.75,8725933
2010-04-19 00:00:00+05:30,514.65,514.65,500.9,506.05,7860457
2010-04-20 00:00:00+05:30,509.9,514.6,502.5,506.7,8032811
2010-04-21 00:00:00+05:30,509.95,511.75,499.55,502.35,9202585
2010-04-22 00:00:00+05:30,500.65,521.35,500.45,512.7,12277283
2010-04-23 00:00:00+05:30,514.75,522.35,514.75,518.65,11143871
2010-04-26 00:00:00+05:30,514.75,523.2,506.85,510.55,7986577
2010-04-27 00:00:00+05:30,506.65,509.0,502.8,505.8,6700278
2010-04-28 00:00:00+05:30,502.3,502.3,482.3,484.85,19237390
2010-04-29 00:00:00+05:30,488.05,495.6,485.75,493.3,11245491
2010-04-30 00:00:00+05:30,495.65,499.1,490.9,492.6,7587956
2010-05-03 00:00:00+05:30,489.0,492.15,485.25,487.9,6012058
2010-05-04 00:00:00+05:30,488.15,495.2,483.05,486.7,8320690
2010-05-05 00:00:00+05:30,481.35,487.85,478.15,486.45,7182947
2010-05-06 00:00:00+05:30,486.05,487.7,478.5,480.35,11445204
2010-05-07 00:00:00+05:30,465.15,505.2,465.15,492.25,34562630
2010-05-10 00:00:00+05:30,500.9,515.7,495.65,514.45,18249653
2010-05-11 00:00:00+05:30,519.0,519.0,506.8,508.9,12626029
2010-05-12 00:00:00+05:30,512.85,519.25,507.15,516.15,7335335
2010-05-13 00:00:00+05:30,506.15,521.1,506.15,510.8,5730263
2010-05-14 00:00:00+05:30,508.85,510.45,493.3,497.4,8710573
2010-05-17 00:00:00+05:30,493.15,493.15,480.9,484.5,9885678
2010-05-18 00:00:00+05:30,486.15,492.55,480.3,486.4,7407704
2010-05-19 00:00:00+05:30,484.7,485.05,474.25,475.95,12516673
2010-05-20 00:00:00+05:30,477.1,482.8,473.65,476.6,8909893
2010-05-21 00:00:00+05:30,471.8,476.55,465.2,474.5,9192925
2010-05-24 00:00:00+05:30,485.2,499.95,484.45,487.4,11859039
2010-05-25 00:00:00+05:30,488.5,488.5,468.4,469.75,12108261
2010-05-26 00:00:00+05:30,474.15,481.35,472.3,480.45,6583432
2010-05-27 00:00:00+05:30,481.85,489.8,477.35,487.2,13143824
2010-05-28 00:00:00+05:30,490.9,495.2,483.5,494.05,8410140
2010-05-31 00:00:00+05:30,490.95,499.7,490.3,498.3,7937014
2010-06-01 00:00:00+05:30,497.25,498.05,478.55,481.65,9336196
2010-06-02 00:00:00+05:30,483.75,486.6,478.2,481.85,9461911
2010-06-03 00:00:00+05:30,486.1,494.7,486.1,491.3,8204708
2010-06-04 00:00:00+05:30,491.35,493.75,487.3,491.45,6756789
2010-06-07 00:00:00+05:30,483.75,483.75,476.6,480.3,6476386
2010-06-08 00:00:00+05:30,481.2,482.65,474.25,474.9,7302916
2010-06-09 00:00:00+05:30,476.7,483.75,476.6,479.95,7310484
2010-06-10 00:00:00+05:30,481.35,484.9,480.0,483.9,6696783
2010-06-11 00:00:00+05:30,488.5,500.85,486.6,498.7,11178357
2010-06-14 00:00:00+05:30,502.75,509.95,500.0,506.85,7622459
2010-06-15 00:00:00+05:30,507.65,509.9,500.45,508.1,9109198
2010-06-16 00:00:00+05:30,509.95,511.25,502.85,504.2,5675287
2010-06-17 00:00:00+05:30,506.75,513.3,504.4,510.65,10094786
2010-06-18 00:00:00+05:30,514.8,519.4,500.7,502.5,18358569
2010-06-21 00:00:00+05:30,505.65,510.75,505.65,507.9,5656023
2010-06-22 00:00:00+05:30,506.65,512.25,503.75,507.0,6191250
2010-06-23 00:00:00+05:30,505.05,508.75,502.35,504.6,5591892
2010-06-24 00:00:00+05:30,504.7,507.95,499.15,501.4,9019236
2010-06-25 00:00:00+05:30,500.45,509.0,497.1,506.6,9748324
2010-06-28 00:00:00+05:30,511.85,520.45,507.65,519.55,15094670
2010-06-29 00:00:00+05:30,519.95,519.95,507.2,508.75,6817198
2010-06-30 00:00:00+05:30,505.2,521.4,504.0,519.4,12775727
2010-07-01 00:00:00+05:30,516.65,517.75,508.3,512.95,6384074
2010-07-02 00:00:00+05:30,512.8,516.6,507.7,509.45,5251172
2010-07-05 00:00:00+05:30,509.95,511.45,506.5,509.15,3069285
2010-07-06 00:00:00+05:30,507.8,515.65,507.8,511.8,4438818
2010-07-07 00:00:00+05:30,511.85,512.25,500.9,502.15,6589192
2010-07-08 00:00:00+05:30,505.2,509.75,502.95,503.8,5744754
2010-07-09 00:00:00+05:30,507.1,508.05,502.15,504.1,6222926
2010-07-12 00:00:00+05:30,505.2,509.0,501.4,503.4,6025664
2010-07-13 00:00:00+05:30,503.9,513.65,503.9,512.0,7214945
2010-07-14 00:00:00+05:30,514.75,521.6,508.65,510.2,7659504
2010-07-15 00:00:00+05:30,510.9,515.15,509.05,511.6,6655700
2010-07-16 00:00:00+05:30,510.45,511.85,505.2,506.6,4210775
2010-07-19 00:00:00+05:30,504.3,508.0,502.25,503.3,4704294
2010-07-20 00:00:00+05:30,503.75,508.0,500.0,501.85,3282991
2010-07-21 00:00:00+05:30,504.65,506.65,503.15,504.45,4712053
2010-07-22 00:00:00+05:30,504.45,505.6,499.3,504.7,7616164
2010-07-23 00:00:00+05:30,507.1,510.4,503.65,505.4,6613864
2010-07-26 00:00:00+05:30,506.85,508.7,500.55,501.9,4371056
2010-07-27 00:00:00+05:30,504.65,505.75,500.95,502.1,5819340
2010-07-28 00:00:00+05:30,506.65,511.7,485.2,486.75,25384496
2010-07-29 00:00:00+05:30,490.2,490.2,480.4,481.45,22197220
2010-07-30 00:00:00+05:30,483.75,486.3,480.05,481.2,9228735
2010-08-02 00:00:00+05:30,484.25,487.0,482.05,483.55,6080005
2010-08-03 00:00:00+05:30,485.75,491.35,483.25,489.85,9642209
2010-08-04 00:00:00+05:30,489.95,491.35,482.6,484.25,8785650
2010-08-05 00:00:00+05:30,486.1,487.9,479.0,479.95,8780753
2010-08-06 00:00:00+05:30,480.85,481.4,475.9,476.65,9571104
2010-08-09 00:00:00+05:30,476.6,479.45,472.8,473.55,10673110
2010-08-10 00:00:00+05:30,472.3,477.75,470.05,470.85,9587316
2010-08-11 00:00:00+05:30,471.75,474.15,467.1,468.6,10511792
2010-08-12 00:00:00+05:30,467.05,468.6,462.3,463.55,11947313
2010-08-13 00:00:00+05:30,462.55,473.65,462.55,466.65,14634025
2010-08-16 00:00:00+05:30,467.05,472.75,464.7,465.6,6728373
2010-08-17 00:00:00+05:30,467.05,469.45,462.3,462.6,7092863
2010-08-18 00:00:00+05:30,463.75,465.65,456.75,459.75,11922839
2010-08-19 00:00:00+05:30,459.3,469.4,459.3,465.75,9910204
2010-08-20 00:00:00+05:30,465.75,473.45,463.5,471.2,10070034
2010-08-23 00:00:00+05:30,472.8,472.8,464.95,465.6,6495595
2010-08-24 00:00:00+05:30,465.6,467.55,461.0,463.45,9245084
2010-08-25 00:00:00+05:30,462.3,466.05,460.15,461.25,8930608
2010-08-26 00:00:00+05:30,462.3,463.75,455.2,455.85,13349932
2010-08-27 00:00:00+05:30,457.0,457.95,451.15,452.6,11662191
2010-08-30 00:00:00+05:30,453.75,459.8,450.4,451.8,5711512
2010-08-31 00:00:00+05:30,450.2,452.75,436.1,438.1,22352351
2010-09-01 00:00:00+05:30,440.9,449.8,438.95,446.2,13374858
2010-09-02 00:00:00+05:30,450.4,451.2,446.1,446.8,8488795
2010-09-03 00:00:00+05:30,448.0,448.75,440.45,441.2,6925748
2010-09-06 00:00:00+05:30,443.7,456.45,439.55,454.05,16272456
2010-09-07 00:00:00+05:30,455.15,462.15,454.2,458.65,13611258
2010-09-08 00:00:00+05:30,455.2,459.8,453.7,457.35,5579263
2010-09-09 00:00:00+05:30,458.95,460.95,455.25,456.85,4850947
2010-09-13 00:00:00+05:30,463.25,474.45,460.1,473.05,13177017
2010-09-14 00:00:00+05:30,474.45,478.05,469.15,470.95,9339469
2010-09-15 00:00:00+05:30,471.35,485.5,471.35,483.2,16093245
2010-09-16 00:00:00+05:30,482.35,483.9,475.25,476.75,8892482
2010-09-17 00:00:00+05:30,479.0,491.55,479.0,489.65,15326080
2010-09-20 00:00:00+05:30,490.4,497.55,486.65,496.35,14589695
2010-09-21 00:00:00+05:30,496.6,499.7,488.55,493.35,10240646
2010-09-22 00:00:00+05:30,492.8,497.45,483.75,486.15,12408830
2010-09-23 00:00:00+05:30,486.15,488.05,474.7,475.5,11045707
2010-09-24 00:00:00+05:30,476.6,480.9,472.85,477.4,10872367
2010-09-27 00:00:00+05:30,480.4,486.1,479.05,481.45,7896997
2010-09-28 00:00:00+05:30,480.55,482.3,473.25,475.9,9439973
2010-09-29 00:00:00+05:30,476.6,480.9,474.2,476.1,8532322
2010-09-30 00:00:00+05:30,477.55,477.55,466.15,470.55,13899980
2010-10-01 00:00:00+05:30,472.8,481.35,471.85,480.35,9162530
2010-10-04 00:00:00+05:30,483.75,488.9,483.75,485.1,10150063
2010-10-05 00:00:00+05:30,484.25,491.75,480.9,487.95,11001819
2010-10-06 00:00:00+05:30,490.9,499.0,489.45,498.05,13495181
2010-10-07 00:00:00+05:30,498.05,503.2,492.1,495.25,15130694
2010-10-08 00:00:00+05:30,498.85,502.7,491.15,500.25,10007274
2010-10-11 00:00:00+05:30,503.3,511.05,501.9,509.6,12372499
2010-10-12 00:00:00+05:30,509.0,509.7,498.6,503.1,6704922
2010-10-13 00:00:00+05:30,503.35,511.85,502.65,511.4,11495015
2010-10-14 00:00:00+05:30,512.35,515.45,502.45,504.7,11709595
2010-10-15 00:00:00+05:30,505.2,509.0,493.55,495.85,5564449
2010-10-18 00:00:00+05:30,496.75,507.55,492.45,499.2,10651861
2010-10-19 00:00:00+05:30,507.6,509.35,495.3,497.75,8911013
2010-10-20 00:00:00+05:30,495.4,507.3,494.7,500.15,8744693
2010-10-21 00:00:00+05:30,501.4,518.45,500.05,515.5,17876659
2010-10-22 00:00:00+05:30,517.35,521.3,512.05,515.6,9413485
2010-10-25 00:00:00+05:30,518.55,525.15,517.6,519.65,8642207
2010-10-26 00:00:00+05:30,519.9,524.7,518.1,523.7,7407221
2010-10-27 00:00:00+05:30,523.3,529.05,516.3,520.8,10525842
2010-10-28 00:00:00+05:30,523.95,524.7,512.15,515.7,17356221
2010-10-29 00:00:00+05:30,518.4,527.7,514.95,522.5,14255351
2010-11-01 00:00:00+05:30,534.25,536.15,519.15,521.0,14632630
2010-11-02 00:00:00+05:30,522.05,522.05,510.1,512.25,9765231
2010-11-03 00:00:00+05:30,515.7,517.05,506.45,507.7,9563466
2010-11-04 00:00:00+05:30,513.75,527.6,512.35,526.65,11660248
2010-11-05 00:00:00+05:30,530.95,532.6,524.4,527.0,3061115
2010-11-08 00:00:00+05:30,530.9,533.3,524.55,529.9,10726104
2010-11-09 00:00:00+05:30,530.1,534.05,522.95,528.35,7390853
2010-11-10 00:00:00+05:30,527.45,532.3,523.9,525.3,5706936
2010-11-11 00:00:00+05:30,527.1,529.9,512.8,514.7,6086308
2010-11-12 00:00:00+05:30,514.8,518.25,503.75,506.05,9175896
2010-11-15 00:00:00+05:30,508.55,508.95,494.8,502.65,7714532
2010-11-16 00:00:00+05:30,504.7,504.7,489.25,491.15,9512300
2010-11-18 00:00:00+05:30,500.35,500.35,483.25,492.3,10924033
2010-11-19 00:00:00+05:30,493.75,493.75,470.45,474.8,11907086
2010-11-22 00:00:00+05:30,478.25,484.45,475.25,482.45,9091892
2010-11-23 00:00:00+05:30,478.8,479.0,464.7,474.5,15881799
2010-11-24 00:00:00+05:30,476.1,485.1,469.95,474.7,9450212
2010-11-25 00:00:00+05:30,477.55,478.05,463.75,466.85,13962859
2010-11-26 00:00:00+05:30,469.45,472.0,456.75,458.65,14695016
2010-11-29 00:00:00+05:30,462.05,477.75,458.7,475.85,11227292
2010-11-30 00:00:00+05:30,476.5,480.75,467.6,469.75,14620343
2010-12-01 00:00:00+05:30,469.45,475.35,468.55,471.25,8981618
2010-12-02 00:00:00+05:30,476.1,483.0,474.25,481.9,11910760
2010-12-03 00:00:00+05:30,483.25,488.05,475.65,479.4,9420195
2010-12-06 00:00:00+05:30,484.15,490.9,482.8,486.2,8532427
2010-12-07 00:00:00+05:30,486.15,495.5,486.15,491.25,10742344
2010-12-08 00:00:00+05:30,488.45,489.85,481.9,486.4,8152131
2010-12-09 00:00:00+05:30,488.3,492.75,466.5,469.2,15211472
2010-12-10 00:00:00+05:30,470.3,490.9,466.75,488.0,12723779
2010-12-13 00:00:00+05:30,488.05,498.5,481.35,496.5,8074013
2010-12-14 00:00:00+05:30,497.1,505.2,496.6,502.95,9631158
2010-12-15 00:00:00+05:30,502.35,507.1,493.75,502.3,10280982
2010-12-16 00:00:00+05:30,504.1,505.2,495.7,503.7,7448757
2010-12-20 00:00:00+05:30,498.05,509.0,497.85,503.65,7605740
2010-12-21 00:00:00+05:30,505.15,512.3,504.35,511.45,7716844
2010-12-22 00:00:00+05:30,511.3,512.35,499.65,503.3,7257561
2010-12-23 00:00:00+05:30,504.15,507.45,500.65,504.9,6997513
2010-12-24 00:00:00+05:30,501.85,507.35,500.45,505.05,4533774
2010-12-27 00:00:00+05:30,504.4,509.4,501.0,502.95,2773142
2010-12-28 00:00:00+05:30,503.45,505.05,496.75,499.45,4248094
2010-12-29 00:00:00+05:30,499.6,502.8,498.65,499.75,5364229
2010-12-30 00:00:00+05:30,501.55,503.2,498.65,501.0,6983996
2010-12-31 00:00:00+05:30,504.25,508.3,501.95,504.6,4783381
2011-01-03 00:00:00+05:30,507.6,508.3,501.65,503.1,4993367
2011-01-04 00:00:00+05:30,505.2,514.7,503.9,513.35,10561964
2011-01-05 00:00:00+05:30,514.75,519.5,509.95,512.75,12442699
2011-01-06 00:00:00+05:30,513.75,520.15,512.15,517.4,10437889
2011-01-07 00:00:00+05:30,515.35,518.45,504.25,507.75,8573122
2011-01-10 00:00:00+05:30,507.75,510.2,486.7,492.55,8862476
2011-01-11 00:00:00+05:30,495.65,499.8,475.95,483.15,10142407
2011-01-12 00:00:00+05:30,486.45,493.6,478.05,491.3,11124608
2011-01-13 00:00:00+05:30,490.9,495.25,481.9,483.9,11672046
2011-01-14 00:00:00+05:30,483.3,490.8,475.65,477.3,9166259
2011-01-17 00:00:00+05:30,478.05,480.4,472.8,475.6,6736884
2011-01-18 00:00:00+05:30,478.9,480.4,471.85,474.15,7132568
2011-01-19 00:00:00+05:30,476.4,479.0,464.7,467.15,11266840
2011-01-20 00:00:00+05:30,465.9,465.9,454.95,462.25,19828758
2011-01-21 00:00:00+05:30,464.7,473.05,463.75,470.3,9366194
2011-01-24 00:00:00+05:30,474.25,474.65,459.5,463.05,10667879
2011-01-25 00:00:00+05:30,465.7,469.45,455.75,456.8,9748386
2011-01-27 00:00:00+05:30,460.4,461.05,448.0,449.3,13479577
2011-01-28 00:00:00+05:30,450.4,450.8,429.9,435.15,16237612
2011-01-31 00:00:00+05:30,433.15,442.7,430.4,438.15,12149755
2011-02-01 00:00:00+05:30,440.9,442.15,423.5,426.8,18176766
2011-02-02 00:00:00+05:30,433.7,442.25,432.4,439.1,13652508
2011-02-03 00:00:00+05:30,442.3,451.6,436.1,449.85,8176301
2011-02-04 00:00:00+05:30,451.55,451.55,435.2,438.45,9935334
2011-02-07 00:00:00+05:30,441.2,447.45,435.8,442.8,6995795
2011-02-08 00:00:00+05:30,445.95,445.95,434.3,436.2,9441328
2011-02-09 00:00:00+05:30,432.95,446.65,430.7,435.75,18334630
2011-02-10 00:00:00+05:30,434.9,438.85,421.85,428.8,13595955
