datetime,open,high,low,close,volume
2025-03-03T09:15:00+05:30,690.8,692.75,688.8,689.75,142599
2025-03-03T09:16:00+05:30,690.05,691.35,689.9,690.9,64981
2025-03-03T09:17:00+05:30,690.85,691.0,689.5,689.75,70210
2025-03-03T09:18:00+05:30,689.75,691.35,689.2,690.85,56988
2025-03-03T09:19:00+05:30,690.85,691.55,690.6,691.0,59646
2025-03-03T09:20:00+05:30,691.0,691.05,689.45,689.95,48645
2025-03-03T09:21:00+05:30,689.9,690.55,689.2,689.5,42906
2025-03-03T09:22:00+05:30,689.35,689.9,689.0,689.6,67097
2025-03-03T09:23:00+05:30,689.8,689.8,688.05,688.4,38499
2025-03-03T09:24:00+05:30,688.4,688.9,688.1,688.9,52941
2025-03-03T09:25:00+05:30,688.9,689.05,688.55,689.05,29172
2025-03-03T09:26:00+05:30,689.05,689.55,687.05,687.3,68643
2025-03-03T09:27:00+05:30,687.6,688.85,687.0,688.2,69844
2025-03-03T09:28:00+05:30,688.35,689.35,687.85,688.75,46529
2025-03-03T09:29:00+05:30,688.75,688.95,687.6,687.6,35736
2025-03-03T09:30:00+05:30,687.85,688.05,687.35,687.7,45194
2025-03-03T09:31:00+05:30,687.7,688.6,687.4,687.8,24599
2025-03-03T09:32:00+05:30,687.55,687.65,686.6,687.1,31052
2025-03-03T09:33:00+05:30,687.45,687.5,686.15,686.55,35115
2025-03-03T09:34:00+05:30,686.55,687.0,686.1,686.1,22139
2025-03-03T09:35:00+05:30,686.4,686.7,685.75,686.65,45965
2025-03-03T09:36:00+05:30,686.65,686.7,685.5,685.85,29329
2025-03-03T09:37:00+05:30,686.0,686.6,685.3,685.75,22733
2025-03-03T09:38:00+05:30,685.9,686.6,685.7,686.45,22185
2025-03-03T09:39:00+05:30,686.35,686.65,685.6,686.5,23748
2025-03-03T09:40:00+05:30,686.65,687.0,686.35,686.8,19788
2025-03-03T09:41:00+05:30,686.8,687.4,686.4,686.95,34200
2025-03-03T09:42:00+05:30,686.8,686.9,686.05,686.2,10194
2025-03-03T09:43:00+05:30,686.2,686.6,686.0,686.2,14154
2025-03-03T09:44:00+05:30,686.0,686.1,684.25,684.4,70250
2025-03-03T09:45:00+05:30,684.4,684.7,683.5,683.5,40165
2025-03-03T09:46:00+05:30,683.7,685.0,683.5,684.75,34091
2025-03-03T09:47:00+05:30,684.75,684.75,684.0,684.35,27635
2025-03-03T09:48:00+05:30,684.35,684.55,683.65,683.85,18229
2025-03-03T09:49:00+05:30,683.8,684.2,683.1,683.8,37658
2025-03-03T09:50:00+05:30,683.8,683.9,683.0,683.15,25025
2025-03-03T09:51:00+05:30,683.15,684.4,682.75,684.0,41309
2025-03-03T09:52:00+05:30,684.0,684.35,683.4,683.8,28065
2025-03-03T09:53:00+05:30,683.9,684.0,683.4,683.8,20857
2025-03-03T09:54:00+05:30,683.9,683.95,683.25,683.55,8575
2025-03-03T09:55:00+05:30,683.6,683.95,683.45,683.75,10640
2025-03-03T09:56:00+05:30,683.75,684.3,683.45,683.8,26556
2025-03-03T09:57:00+05:30,683.8,683.8,683.1,683.7,16483
2025-03-03T09:58:00+05:30,683.7,684.35,683.4,683.95,22320
2025-03-03T09:59:00+05:30,683.95,684.3,683.9,684.1,14064
2025-03-03T10:00:00+05:30,684.3,684.4,682.3,682.45,47787
2025-03-03T10:01:00+05:30,682.35,682.6,681.3,681.7,58449
2025-03-03T10:02:00+05:30,681.65,682.0,681.2,681.6,18627
2025-03-03T10:03:00+05:30,681.6,682.0,681.35,681.6,26292
2025-03-03T10:04:00+05:30,681.6,681.65,680.9,681.4,34320
2025-03-03T10:05:00+05:30,681.35,681.8,681.1,681.1,14035
2025-03-03T10:06:00+05:30,681.05,681.5,680.4,680.75,33803
2025-03-03T10:07:00+05:30,680.6,681.35,680.5,680.95,34006
2025-03-03T10:08:00+05:30,680.65,681.6,680.55,680.6,40257
2025-03-03T10:09:00+05:30,680.7,681.45,680.6,681.1,22238
2025-03-03T10:10:00+05:30,681.0,681.15,680.2,680.35,21564
2025-03-03T10:11:00+05:30,680.35,681.1,680.2,680.75,27095
2025-03-03T10:12:00+05:30,680.75,681.45,680.55,681.15,25246
2025-03-03T10:13:00+05:30,681.05,681.35,680.8,681.05,14701
2025-03-03T10:14:00+05:30,681.05,681.1,680.0,680.35,40374
2025-03-03T10:15:00+05:30,680.2,681.45,680.2,681.25,28874
2025-03-03T10:16:00+05:30,680.95,682.0,680.85,681.65,29505
2025-03-03T10:17:00+05:30,681.35,681.95,681.1,681.55,24943
2025-03-03T10:18:00+05:30,681.5,682.0,681.5,681.85,15911
2025-03-03T10:19:00+05:30,681.6,683.0,681.55,682.7,30208
2025-03-03T10:20:00+05:30,682.5,682.5,682.0,682.0,23576
2025-03-03T10:21:00+05:30,682.0,682.4,681.45,682.15,33313
2025-03-03T10:22:00+05:30,682.15,682.3,681.5,681.55,16235
2025-03-03T10:23:00+05:30,681.4,681.6,680.75,681.25,14200
2025-03-03T10:24:00+05:30,681.25,682.0,681.2,681.65,14505
2025-03-03T10:25:00+05:30,681.55,682.0,681.4,681.95,9429
2025-03-03T10:26:00+05:30,681.9,683.0,681.85,683.0,23944
2025-03-03T10:27:00+05:30,682.8,683.9,682.8,683.8,22968
2025-03-03T10:28:00+05:30,683.8,685.1,683.7,684.7,62019
2025-03-03T10:29:00+05:30,684.8,685.5,684.5,685.35,28340
2025-03-03T10:30:00+05:30,685.25,685.45,683.4,684.0,19382
2025-03-03T10:31:00+05:30,683.9,684.2,683.6,683.8,14531
2025-03-03T10:32:00+05:30,683.8,684.25,683.7,684.15,21297
2025-03-03T10:33:00+05:30,684.15,684.25,682.8,683.0,11435
2025-03-03T10:34:00+05:30,683.3,683.6,683.0,683.2,5439
2025-03-03T10:35:00+05:30,683.2,683.25,682.25,682.5,23180
2025-03-03T10:36:00+05:30,682.5,682.85,682.25,682.7,7819
2025-03-03T10:37:00+05:30,682.7,683.0,682.45,682.8,7163
2025-03-03T10:38:00+05:30,683.0,683.45,682.7,683.2,8929
2025-03-03T10:39:00+05:30,683.2,684.0,683.2,683.6,8952
2025-03-03T10:40:00+05:30,683.6,683.6,683.0,683.3,19908
2025-03-03T10:41:00+05:30,683.25,683.5,682.7,682.85,14077
2025-03-03T10:42:00+05:30,682.85,682.85,682.0,682.25,23313
2025-03-03T10:43:00+05:30,682.25,682.25,682.0,682.2,7822
2025-03-03T10:44:00+05:30,682.0,682.6,682.0,682.5,10288
2025-03-03T10:45:00+05:30,682.5,682.85,682.0,682.8,17918
2025-03-03T10:46:00+05:30,682.8,683.35,682.5,683.05,7976
2025-03-03T10:47:00+05:30,683.15,683.4,682.55,683.05,7000
2025-03-03T10:48:00+05:30,683.35,683.65,682.95,683.55,7975
2025-03-03T10:49:00+05:30,683.5,683.75,683.15,683.5,7616
2025-03-03T10:50:00+05:30,683.5,683.85,683.3,683.65,7313
2025-03-03T10:51:00+05:30,683.65,685.2,683.05,685.1,124735
2025-03-03T10:52:00+05:30,685.0,685.2,684.75,685.15,22742
2025-03-03T10:53:00+05:30,685.0,685.25,684.9,685.15,16723
2025-03-03T10:54:00+05:30,685.1,686.0,684.75,685.9,52844
2025-03-03T10:55:00+05:30,685.9,686.0,685.1,685.5,40612
2025-03-03T10:56:00+05:30,685.5,685.8,685.05,685.3,26289
2025-03-03T10:57:00+05:30,685.2,686.5,685.1,686.15,100492
2025-03-03T10:58:00+05:30,686.15,686.3,685.4,685.75,36611
2025-03-03T10:59:00+05:30,685.7,686.3,685.7,686.1,55837
2025-03-03T11:00:00+05:30,686.1,686.55,685.25,685.35,69114
2025-03-03T11:01:00+05:30,685.35,685.8,685.2,685.75,31942
2025-03-03T11:02:00+05:30,685.6,686.0,685.45,685.5,13348
2025-03-03T11:03:00+05:30,685.5,685.6,685.0,685.15,59515
2025-03-03T11:04:00+05:30,685.15,685.9,685.05,685.5,40216
2025-03-03T11:05:00+05:30,685.25,686.0,685.0,685.8,27111
2025-03-03T11:06:00+05:30,685.9,686.1,685.55,686.0,16493
2025-03-03T11:07:00+05:30,686.05,686.55,686.0,686.15,14450
2025-03-03T11:08:00+05:30,686.15,686.5,686.0,686.2,18681
2025-03-03T11:09:00+05:30,686.0,686.55,685.9,686.45,60718
2025-03-03T11:10:00+05:30,686.45,686.6,686.2,686.55,8600
2025-03-03T11:11:00+05:30,686.5,686.5,686.0,686.05,7193
2025-03-03T11:12:00+05:30,686.3,686.3,685.75,685.85,27823
2025-03-03T11:13:00+05:30,685.75,686.2,685.55,686.15,10003
2025-03-03T11:14:00+05:30,686.15,686.5,686.05,686.5,9141
2025-03-03T11:15:00+05:30,686.5,687.1,686.0,686.55,5774
2025-03-03T11:16:00+05:30,686.55,686.75,686.05,686.6,101721
2025-03-03T11:17:00+05:30,686.6,686.9,686.0,686.9,31556
2025-03-03T11:18:00+05:30,686.85,686.9,686.45,686.75,5795
2025-03-03T11:19:00+05:30,686.85,687.4,686.5,687.0,32858
2025-03-03T11:20:00+05:30,687.0,687.3,686.5,686.8,18791
2025-03-03T11:21:00+05:30,686.75,687.0,686.5,686.5,11605
2025-03-03T11:22:00+05:30,686.55,686.8,686.15,686.8,30073
2025-03-03T11:23:00+05:30,686.8,687.25,686.75,687.15,10866
2025-03-03T11:24:00+05:30,687.0,687.85,687.0,687.55,22584
2025-03-03T11:25:00+05:30,687.55,687.85,687.3,687.3,8692
2025-03-03T11:26:00+05:30,687.3,687.5,686.65,687.1,12324
2025-03-03T11:27:00+05:30,687.15,687.5,687.0,687.5,7300
2025-03-03T11:28:00+05:30,687.5,687.85,687.15,687.85,17141
2025-03-03T11:29:00+05:30,687.8,687.85,687.35,687.6,20758
2025-03-03T11:30:00+05:30,687.6,687.8,687.15,687.45,7014
2025-03-03T11:31:00+05:30,687.45,687.45,687.0,687.3,5662
2025-03-03T11:32:00+05:30,687.3,687.35,687.0,687.35,13025
2025-03-03T11:33:00+05:30,687.35,687.7,687.05,687.7,8677
2025-03-03T11:34:00+05:30,687.65,687.8,687.45,687.45,10203
2025-03-03T11:35:00+05:30,687.45,687.45,687.0,687.05,10363
2025-03-03T11:36:00+05:30,687.05,687.4,687.0,687.25,17042
2025-03-03T11:37:00+05:30,687.25,687.5,687.15,687.45,4824
2025-03-03T11:38:00+05:30,687.5,687.85,687.45,687.55,12150
2025-03-03T11:39:00+05:30,687.45,687.55,687.15,687.35,5506
2025-03-03T11:40:00+05:30,687.45,688.15,687.4,687.95,35690
2025-03-03T11:41:00+05:30,687.85,688.15,687.7,687.95,9255
2025-03-03T11:42:00+05:30,687.95,688.25,687.5,688.1,9206
2025-03-03T11:43:00+05:30,688.2,688.3,687.7,688.0,10235
2025-03-03T11:44:00+05:30,688.0,688.0,687.5,687.7,9948
2025-03-03T11:45:00+05:30,687.7,687.7,687.35,687.6,14751
2025-03-03T11:46:00+05:30,687.6,688.15,687.2,688.1,14665
2025-03-03T11:47:00+05:30,688.15,688.55,688.0,688.45,12833
2025-03-03T11:48:00+05:30,688.45,688.7,687.9,688.05,78412
2025-03-03T11:49:00+05:30,688.3,689.35,688.0,688.95,46226
2025-03-03T11:50:00+05:30,689.1,689.4,688.55,689.1,39064
2025-03-03T11:51:00+05:30,689.1,689.2,688.75,688.95,8627
2025-03-03T11:52:00+05:30,689.0,689.0,688.25,688.45,8458
2025-03-03T11:53:00+05:30,688.25,688.55,688.2,688.3,6239
2025-03-03T11:54:00+05:30,688.3,688.35,687.6,687.6,13102
2025-03-03T11:55:00+05:30,687.85,687.85,687.5,687.75,11453
2025-03-03T11:56:00+05:30,687.75,687.9,687.5,687.55,11076
2025-03-03T11:57:00+05:30,687.7,687.75,687.5,687.65,28982
2025-03-03T11:58:00+05:30,687.65,687.7,687.05,687.45,11104
2025-03-03T11:59:00+05:30,687.3,687.5,686.8,687.05,18893
2025-03-03T12:00:00+05:30,687.1,687.1,686.55,686.75,11133
2025-03-03T12:01:00+05:30,686.9,687.95,686.75,687.45,105074
2025-03-03T12:02:00+05:30,687.6,688.05,686.75,687.4,118755
2025-03-03T12:03:00+05:30,687.45,688.05,687.3,688.0,81357
2025-03-03T12:04:00+05:30,688.0,688.15,687.9,688.05,29845
2025-03-03T12:05:00+05:30,688.1,688.4,687.8,688.3,34344
2025-03-03T12:06:00+05:30,688.25,688.6,688.25,688.4,7395
2025-03-03T12:07:00+05:30,688.55,688.7,688.2,688.65,32375
2025-03-03T12:08:00+05:30,688.5,689.1,688.3,688.9,30477
2025-03-03T12:09:00+05:30,688.85,689.55,688.75,688.9,23627
2025-03-03T12:10:00+05:30,688.95,689.45,688.75,688.9,23665
2025-03-03T12:11:00+05:30,688.9,688.95,688.5,688.9,8237
2025-03-03T12:12:00+05:30,688.9,689.2,688.55,689.15,13111
2025-03-03T12:13:00+05:30,689.2,689.7,689.15,689.55,19739
2025-03-03T12:14:00+05:30,689.6,690.15,689.5,690.05,83240
2025-03-03T12:15:00+05:30,690.05,690.15,688.95,689.2,30684
2025-03-03T12:16:00+05:30,689.2,689.4,688.8,689.0,11294
