,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,515000000.0,515000000.0,460000000.0,480000000.0
Ordinary Shares Number,10383000000.0,10242000000.0,10180000000.0,10060000000.0
Share Issued,10898000000.0,10757000000.0,10640000000.0,10540000000.0
Net Debt,,13262000000.0,12524000000.0,
Total Debt,135611000000.0,140118000000.0,116395000000.0,84389000000.0
Tangible Book Value,171399000000.0,119658000000.0,117767000000.0,73406000000.0
Invested Capital,260189000000.0,213193000000.0,186989000000.0,125220000000.0
Working Capital,7434000000.0,-8602000000.0,19314000000.0,6348000000.0
Net Tangible Assets,171399000000.0,119658000000.0,117767000000.0,73406000000.0
Capital Lease Obligations,77297000000.0,72968000000.0,67651000000.0,52573000000.0
Common Stock Equity,201875000000.0,146043000000.0,138245000000.0,93404000000.0
Total Capitalization,260189000000.0,213193000000.0,186989000000.0,125220000000.0
Total Equity Gross Minority Interest,201875000000.0,146043000000.0,138245000000.0,93404000000.0
Stockholders Equity,201875000000.0,146043000000.0,138245000000.0,93404000000.0
Gains Losses Not Affecting Retained Earnings,-3040000000.0,-4487000000.0,-1376000000.0,-180000000.0
Other Equity Adjustments,-3040000000.0,-4487000000.0,-1376000000.0,-180000000.0
Treasury Stock,7837000000.0,7837000000.0,1837000000.0,1837000000.0
Retained Earnings,113618000000.0,83193000000.0,85915000000.0,52551000000.0
Additional Paid In Capital,99025000000.0,75066000000.0,55437000000.0,42865000000.0
Capital Stock,109000000.0,108000000.0,106000000.0,5000000.0
Common Stock,109000000.0,108000000.0,106000000.0,5000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,325979000000.0,316632000000.0,282304000000.0,227791000000.0
Total Non Current Liabilities Net Minority Interest,161062000000.0,161239000000.0,140038000000.0,101406000000.0
Other Non Current Liabilities,25451000000.0,21121000000.0,23643000000.0,17017000000.0
Long Term Debt And Capital Lease Obligation,135611000000.0,140118000000.0,116395000000.0,84389000000.0
Long Term Capital Lease Obligation,77297000000.0,72968000000.0,67651000000.0,52573000000.0
Long Term Debt,58314000000.0,67150000000.0,48744000000.0,31816000000.0
Current Liabilities,164917000000.0,155393000000.0,142266000000.0,126385000000.0
Current Deferred Liabilities,15227000000.0,13227000000.0,11827000000.0,9708000000.0
Current Deferred Revenue,15227000000.0,13227000000.0,11827000000.0,9708000000.0
Payables And Accrued Expenses,149690000000.0,142166000000.0,130439000000.0,116677000000.0
Current Accrued Expenses,64709000000.0,62566000000.0,51775000000.0,44138000000.0
Payables,84981000000.0,79600000000.0,78664000000.0,72539000000.0
Accounts Payable,84981000000.0,79600000000.0,78664000000.0,72539000000.0
Total Assets,527854000000.0,462675000000.0,420549000000.0,321195000000.0
Total Non Current Assets,355503000000.0,315884000000.0,258969000000.0,188462000000.0
Other Non Current Assets,48337000000.0,36661000000.0,22128000000.0,17797000000.0
Goodwill And Other Intangible Assets,30476000000.0,26385000000.0,20478000000.0,19998000000.0
Other Intangible Assets,7687000000.0,6097000000.0,5107000000.0,4981000000.0
Goodwill,22789000000.0,20288000000.0,15371000000.0,15017000000.0
Net PPE,276690000000.0,252838000000.0,216363000000.0,150667000000.0
Accumulated Depreciation,-120111000000.0,-97015000000.0,-78519000000.0,-60434000000.0
Gross PPE,396801000000.0,349853000000.0,294882000000.0,211101000000.0
Construction In Progress,28840000000.0,30020000000.0,24895000000.0,15228000000.0
Other Properties,262668000000.0,228183000000.0,188883000000.0,138549000000.0
Machinery Furniture Equipment,,,128683000000.0,97224000000.0
Land And Improvements,105293000000.0,91650000000.0,81104000000.0,57324000000.0
Properties,105293000000.0,91650000000.0,81104000000.0,57324000000.0
Current Assets,172351000000.0,146791000000.0,161580000000.0,132733000000.0
Inventory,33318000000.0,34405000000.0,32640000000.0,23795000000.0
Inventories Adjustments Allowances,-3000000000.0,-2800000000.0,-2600000000.0,-2300000000.0
Other Inventories,36318000000.0,37205000000.0,35240000000.0,26095000000.0
Finished Goods,,,32640000000.0,23795000000.0
Receivables,52253000000.0,42360000000.0,32891000000.0,24542000000.0
Accounts Receivable,52253000000.0,42360000000.0,32891000000.0,24542000000.0
Allowance For Doubtful Accounts Receivable,-1700000000.0,-1400000000.0,-1100000000.0,-1100000000.0
Gross Accounts Receivable,53953000000.0,43760000000.0,33991000000.0,25642000000.0
Cash Cash Equivalents And Short Term Investments,86780000000.0,70026000000.0,96049000000.0,84396000000.0
Other Short Term Investments,13393000000.0,16138000000.0,59829000000.0,42274000000.0
Cash And Cash Equivalents,73387000000.0,53888000000.0,36220000000.0,42122000000.0
