,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,211380035.679101,-3415860000.0,1839997169.143666,287626230.457441
Tax Rate For Calcs,0.189579,0.21,0.12558,0.118413
Normalized EBITDA,88287000000.0,54618000000.0,59741000000.0,48576000000.0
Total Unusual Items,1115000000.0,-16266000000.0,14652000000.0,2429000000.0
Total Unusual Items Excluding Goodwill,1115000000.0,-16266000000.0,14652000000.0,2429000000.0
Net Income From Continuing Operation Net Minority Interest,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Reconciled Depreciation,48663000000.0,41921000000.0,34433000000.0,25180000000.0
Reconciled Cost Of Revenue,480980000000.0,446343000000.0,403507000000.0,334564000000.0
EBITDA,89402000000.0,38352000000.0,74393000000.0,51005000000.0
EBIT,40739000000.0,-3569000000.0,39960000000.0,25825000000.0
Net Interest Income,-233000000.0,-1378000000.0,-1361000000.0,-1092000000.0
Interest Expense,3182000000.0,2367000000.0,1809000000.0,1647000000.0
Interest Income,2949000000.0,989000000.0,448000000.0,555000000.0
Normalized Income,29521380035.6791,10128140000.0,20551997169.143665,19189626230.45744
Net Income From Continuing And Discontinued Operation,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Total Expenses,537933000000.0,501735000000.0,444943000000.0,363165000000.0
Total Operating Income As Reported,36852000000.0,12248000000.0,24879000000.0,22899000000.0
Diluted Average Shares,10492000000.0,10189000000.0,10300000000.0,10200000000.0
Basic Average Shares,10304000000.0,10189000000.0,10120000000.0,10000000000.0
Diluted EPS,2.9,-0.27,3.2405,2.0915
Basic EPS,2.95,-0.27,3.298,2.132
Diluted NI Availto Com Stockholders,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Net Income Common Stockholders,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Net Income,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Net Income Including Noncontrolling Interests,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Net Income Continuous Operations,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
Earnings From Equity Interest Net Of Tax,-12000000.0,-3000000.0,4000000.0,16000000.0
Tax Provision,7120000000.0,-3217000000.0,4791000000.0,2863000000.0
Pretax Income,37557000000.0,-5936000000.0,38151000000.0,24178000000.0
Other Income Expense,938000000.0,-16806000000.0,14633000000.0,2371000000.0
Other Non Operating Income Expenses,-177000000.0,-540000000.0,-19000000.0,-58000000.0
Gain On Sale Of Security,1115000000.0,-16266000000.0,14652000000.0,2429000000.0
Net Non Operating Interest Income Expense,-233000000.0,-1378000000.0,-1361000000.0,-1092000000.0
Interest Expense Non Operating,3182000000.0,2367000000.0,1809000000.0,1647000000.0
Interest Income Non Operating,2949000000.0,989000000.0,448000000.0,555000000.0
Operating Income,36852000000.0,12248000000.0,24879000000.0,22899000000.0
Operating Expense,56953000000.0,55392000000.0,41436000000.0,28601000000.0
Other Operating Expenses,767000000.0,1263000000.0,62000000.0,-75000000.0
Research And Development,,,,42740000000.0
Selling General And Administration,56186000000.0,54129000000.0,41374000000.0,28676000000.0
Selling And Marketing Expense,44370000000.0,42238000000.0,32551000000.0,22008000000.0
General And Administrative Expense,11816000000.0,11891000000.0,8823000000.0,6668000000.0
Other Gand A,11816000000.0,11891000000.0,8823000000.0,6668000000.0
Gross Profit,93805000000.0,67640000000.0,66315000000.0,51500000000.0
Cost Of Revenue,480980000000.0,446343000000.0,403507000000.0,334564000000.0
Total Revenue,574785000000.0,513983000000.0,469822000000.0,386064000000.0
Operating Revenue,574785000000.0,513983000000.0,469822000000.0,386064000000.0
