,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,12460000000.0,12849000000.0,13242420000.0,13504440000.0
Share Issued,12460000000.0,12849000000.0,13242420000.0,13504440000.0
Total Debt,28504000000.0,29679000000.0,28395000000.0,26772000000.0
Tangible Book Value,254181000000.0,227184000000.0,227262000000.0,199924000000.0
Invested Capital,295249000000.0,269001000000.0,264479000000.0,235376000000.0
Working Capital,89716000000.0,95495000000.0,123889000000.0,117462000000.0
Net Tangible Assets,254181000000.0,227184000000.0,227262000000.0,199924000000.0
Capital Lease Obligations,16634000000.0,16822000000.0,15551000000.0,13940000000.0
Common Stock Equity,283379000000.0,256144000000.0,251635000000.0,222544000000.0
Total Capitalization,295249000000.0,269001000000.0,264479000000.0,235376000000.0
Total Equity Gross Minority Interest,283379000000.0,256144000000.0,251635000000.0,222544000000.0
Stockholders Equity,283379000000.0,256144000000.0,251635000000.0,222544000000.0
Gains Losses Not Affecting Retained Earnings,-4402000000.0,-7603000000.0,-1623000000.0,633000000.0
Other Equity Adjustments,-4402000000.0,-7603000000.0,-1623000000.0,633000000.0
Retained Earnings,211247000000.0,195563000000.0,191484000000.0,163401000000.0
Capital Stock,76534000000.0,68184000000.0,61774000000.0,58510000000.0
Common Stock,76534000000.0,68184000000.0,61774000000.0,58510000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,119013000000.0,109120000000.0,107633000000.0,97072000000.0
Total Non Current Liabilities Net Minority Interest,37199000000.0,39820000000.0,43379000000.0,40238000000.0
Other Non Current Liabilities,1616000000.0,2247000000.0,2205000000.0,2269000000.0
Tradeand Other Payables Non Current,8474000000.0,9258000000.0,9176000000.0,8849000000.0
Non Current Deferred Liabilities,1396000000.0,1113000000.0,5792000000.0,4042000000.0
Non Current Deferred Revenue,911000000.0,599000000.0,535000000.0,481000000.0
Non Current Deferred Taxes Liabilities,485000000.0,514000000.0,5257000000.0,3561000000.0
Long Term Debt And Capital Lease Obligation,25713000000.0,27202000000.0,26206000000.0,25078000000.0
Long Term Capital Lease Obligation,13843000000.0,14345000000.0,13362000000.0,12246000000.0
Long Term Debt,11870000000.0,12857000000.0,12844000000.0,12832000000.0
Current Liabilities,81814000000.0,69300000000.0,64254000000.0,56834000000.0
Other Current Liabilities,9525000000.0,9106000000.0,9799000000.0,10409000000.0
Current Deferred Liabilities,4137000000.0,3908000000.0,3288000000.0,2543000000.0
Current Deferred Revenue,4137000000.0,3908000000.0,3288000000.0,2543000000.0
Current Debt And Capital Lease Obligation,2791000000.0,2477000000.0,2189000000.0,1694000000.0
Current Capital Lease Obligation,2791000000.0,2477000000.0,2189000000.0,1694000000.0
Pensionand Other Post Retirement Benefit Plans Current,15140000000.0,14028000000.0,13889000000.0,11086000000.0
Payables And Accrued Expenses,50221000000.0,39781000000.0,35089000000.0,31102000000.0
Current Accrued Expenses,39980000000.0,33021000000.0,29052000000.0,23274000000.0
Payables,10241000000.0,6760000000.0,6037000000.0,7828000000.0
Other Payable,,,397000000.0,754000000.0
Total Tax Payable,2748000000.0,1632000000.0,808000000.0,1485000000.0
Income Tax Payable,2748000000.0,1632000000.0,808000000.0,1485000000.0
Accounts Payable,7493000000.0,5128000000.0,6037000000.0,5589000000.0
Total Assets,402392000000.0,365264000000.0,359268000000.0,319616000000.0
Total Non Current Assets,230862000000.0,200469000000.0,171125000000.0,145320000000.0
Other Non Current Assets,10051000000.0,8707000000.0,5361000000.0,3953000000.0
Non Current Deferred Assets,12169000000.0,5261000000.0,1284000000.0,1084000000.0
Non Current Deferred Taxes Assets,12169000000.0,5261000000.0,1284000000.0,1084000000.0
Investments And Advances,31008000000.0,30492000000.0,29549000000.0,20703000000.0
Investmentin Financial Assets,31008000000.0,30492000000.0,29549000000.0,20703000000.0
Available For Sale Securities,31008000000.0,30492000000.0,29549000000.0,20703000000.0
Goodwill And Other Intangible Assets,29198000000.0,28960000000.0,24373000000.0,22620000000.0
Other Intangible Assets,,2084000000.0,1417000000.0,1445000000.0
Goodwill,29198000000.0,28960000000.0,22956000000.0,21175000000.0
Net PPE,148436000000.0,127049000000.0,110558000000.0,96960000000.0
Accumulated Depreciation,-67458000000.0,-59042000000.0,-49414000000.0,-41713000000.0
Gross PPE,215894000000.0,186091000000.0,159972000000.0,138673000000.0
Leases,11425000000.0,10575000000.0,9146000000.0,7516000000.0
Construction In Progress,35229000000.0,27657000000.0,23172000000.0,23111000000.0
Other Properties,94685000000.0,80648000000.0,68565000000.0,58117000000.0
Machinery Furniture Equipment,472000000.0,314000000.0,208000000.0,197000000.0
Land And Improvements,74083000000.0,66897000000.0,58881000000.0,49732000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,171530000000.0,164795000000.0,188143000000.0,174296000000.0
Other Current Assets,12650000000.0,10775000000.0,8020000000.0,5490000000.0
Inventory,,2670000000.0,1170000000.0,728000000.0
Receivables,47964000000.0,40258000000.0,39304000000.0,31384000000.0
Taxes Receivable,,,966000000.0,454000000.0
Accounts Receivable,47964000000.0,40258000000.0,39304000000.0,30930000000.0
Allowance For Doubtful Accounts Receivable,-771000000.0,-754000000.0,-550000000.0,-789000000.0
Gross Accounts Receivable,48735000000.0,41012000000.0,39854000000.0,31719000000.0
Cash Cash Equivalents And Short Term Investments,110916000000.0,113762000000.0,139649000000.0,136694000000.0
Other Short Term Investments,86868000000.0,91883000000.0,118704000000.0,110229000000.0
Cash And Cash Equivalents,24048000000.0,21879000000.0,20945000000.0,26465000000.0
