,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-286479000.0,-981507000.0,1948860000.0,970572126.783412
Tax Rate For Calcs,0.139,0.159,0.162,0.162493
Normalized EBITDA,100032000000.0,91333000000.0,91491000000.0,55941000000.0
Total Unusual Items,-2061000000.0,-6173000000.0,12030000000.0,5973000000.0
Total Unusual Items Excluding Goodwill,-2061000000.0,-6173000000.0,12030000000.0,5973000000.0
Net Income From Continuing Operation Net Minority Interest,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Reconciled Depreciation,11946000000.0,13475000000.0,12441000000.0,13697000000.0
Reconciled Cost Of Revenue,133332000000.0,126203000000.0,110939000000.0,84732000000.0
EBITDA,97971000000.0,85160000000.0,103521000000.0,61914000000.0
EBIT,86025000000.0,71685000000.0,91080000000.0,48217000000.0
Net Interest Income,3557000000.0,1817000000.0,1153000000.0,1730000000.0
Interest Expense,308000000.0,357000000.0,346000000.0,135000000.0
Interest Income,3865000000.0,2174000000.0,1499000000.0,1865000000.0
Normalized Income,75569521000.0,65163493000.0,65951860000.0,35266572126.78341
Net Income From Continuing And Discontinued Operation,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Total Expenses,223101000000.0,207994000000.0,178923000000.0,141303000000.0
Total Operating Income As Reported,84293000000.0,74842000000.0,78714000000.0,41224000000.0
Diluted Average Shares,12722000000.0,13159000000.0,13553000000.0,13740553816.0
Basic Average Shares,12630000000.0,13063000000.0,13353000000.0,13616313872.0
Diluted EPS,5.8,4.56,5.61,2.930501
Basic EPS,5.84,4.59,5.69,2.957501
Diluted NI Availto Com Stockholders,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Net Income Common Stockholders,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Net Income,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Net Income Including Noncontrolling Interests,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Net Income Continuous Operations,73795000000.0,59972000000.0,76033000000.0,40269000000.0
Tax Provision,11922000000.0,11356000000.0,14701000000.0,7813000000.0
Pretax Income,85717000000.0,71328000000.0,90734000000.0,48082000000.0
Other Income Expense,-2133000000.0,-5331000000.0,10867000000.0,5128000000.0
Other Non Operating Income Expenses,556000000.0,1179000000.0,-1497000000.0,-1246000000.0
Special Income Charges,,,0.0,0.0
Earnings From Equity Interest,-628000000.0,-337000000.0,334000000.0,401000000.0
Gain On Sale Of Security,-2061000000.0,-6173000000.0,12030000000.0,5973000000.0
Net Non Operating Interest Income Expense,3557000000.0,1817000000.0,1153000000.0,1730000000.0
Interest Expense Non Operating,308000000.0,357000000.0,346000000.0,135000000.0
Interest Income Non Operating,3865000000.0,2174000000.0,1499000000.0,1865000000.0
Operating Income,84293000000.0,74842000000.0,78714000000.0,41224000000.0
Operating Expense,89769000000.0,81791000000.0,67984000000.0,56571000000.0
Research And Development,45427000000.0,39500000000.0,31562000000.0,27573000000.0
Selling General And Administration,44342000000.0,42291000000.0,36422000000.0,28998000000.0
Selling And Marketing Expense,27917000000.0,26567000000.0,22912000000.0,17946000000.0
General And Administrative Expense,16425000000.0,15724000000.0,13510000000.0,11052000000.0
Other Gand A,16425000000.0,15724000000.0,13510000000.0,11052000000.0
Gross Profit,174062000000.0,156633000000.0,146698000000.0,97795000000.0
Cost Of Revenue,133332000000.0,126203000000.0,110939000000.0,84732000000.0
Total Revenue,307394000000.0,282836000000.0,257637000000.0,182527000000.0
Operating Revenue,307394000000.0,282836000000.0,257637000000.0,182527000000.0
