,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,2534487662.0,2561000000.0,2614000000.0,2741000000.0,
Share Issued,2534487662.0,2561000000.0,2614000000.0,2741000000.0,
Total Debt,49060000000.0,37234000000.0,26591000000.0,13873000000.0,
Tangible Book Value,161068000000.0,131726000000.0,104510000000.0,105048000000.0,
Invested Capital,211463000000.0,171553000000.0,135636000000.0,124879000000.0,
Working Capital,66449000000.0,53405000000.0,32523000000.0,45531000000.0,
Net Tangible Assets,161068000000.0,131726000000.0,104510000000.0,105048000000.0,
Capital Lease Obligations,20234000000.0,18849000000.0,16668000000.0,13873000000.0,
Common Stock Equity,182637000000.0,153168000000.0,125713000000.0,124879000000.0,
Total Capitalization,211463000000.0,171553000000.0,135636000000.0,124879000000.0,
Total Equity Gross Minority Interest,182637000000.0,153168000000.0,125713000000.0,124879000000.0,
Stockholders Equity,182637000000.0,153168000000.0,125713000000.0,124879000000.0,
Gains Losses Not Affecting Retained Earnings,-3097000000.0,-2155000000.0,-3530000000.0,-693000000.0,
Other Equity Adjustments,-3097000000.0,-2155000000.0,-3530000000.0,-693000000.0,
Retained Earnings,102506000000.0,82070000000.0,64799000000.0,69761000000.0,
Additional Paid In Capital,83228000000.0,73253000000.0,64444000000.0,55811000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,93417000000.0,76455000000.0,60014000000.0,41108000000.0,
Total Non Current Liabilities Net Minority Interest,59821000000.0,44495000000.0,32988000000.0,19973000000.0,
Other Non Current Liabilities,2716000000.0,1370000000.0,1119000000.0,1289000000.0,
Tradeand Other Payables Non Current,9987000000.0,7514000000.0,6645000000.0,5938000000.0,
Long Term Debt And Capital Lease Obligation,47118000000.0,35611000000.0,25224000000.0,12746000000.0,
Long Term Capital Lease Obligation,18292000000.0,17226000000.0,15301000000.0,12746000000.0,
Long Term Debt,28826000000.0,18385000000.0,9923000000.0,,
Current Liabilities,33596000000.0,31960000000.0,27026000000.0,21135000000.0,
Other Current Liabilities,6074000000.0,6369000000.0,4906000000.0,5819000000.0,
Current Deferred Liabilities,,,,561000000.0,382000000.0
Current Deferred Revenue,,,,561000000.0,382000000.0
Current Debt And Capital Lease Obligation,1942000000.0,1623000000.0,1367000000.0,1127000000.0,
Current Capital Lease Obligation,1942000000.0,1623000000.0,1367000000.0,1127000000.0,
Pensionand Other Post Retirement Benefit Plans Current,6350000000.0,6659000000.0,4591000000.0,3152000000.0,
Payables And Accrued Expenses,19230000000.0,17309000000.0,16162000000.0,11037000000.0,
Current Accrued Expenses,8105000000.0,8805000000.0,7716000000.0,4646000000.0,
Payables,11125000000.0,8504000000.0,8446000000.0,6391000000.0,
Other Payable,,,,1052000000.0,1093000000.0
Dueto Related Parties Current,,863000000.0,1117000000.0,1052000000.0,1093000000.0
Total Tax Payable,3438000000.0,3655000000.0,2339000000.0,1256000000.0,
Accounts Payable,7687000000.0,4849000000.0,4990000000.0,4083000000.0,
Total Assets,276054000000.0,229623000000.0,185727000000.0,165987000000.0,
Total Non Current Assets,176009000000.0,144258000000.0,126178000000.0,99321000000.0,
Other Non Current Assets,12102000000.0,6794000000.0,6583000000.0,2751000000.0,
Investments And Advances,6070000000.0,6141000000.0,6201000000.0,6775000000.0,
Investmentin Financial Assets,6070000000.0,6141000000.0,6201000000.0,6775000000.0,
Available For Sale Securities,6070000000.0,6141000000.0,6201000000.0,6775000000.0,
Long Term Equity Investment,,,,6775000000.0,6234000000.0
Goodwill And Other Intangible Assets,21569000000.0,21442000000.0,21203000000.0,19831000000.0,
Other Intangible Assets,915000000.0,788000000.0,897000000.0,634000000.0,
Goodwill,20654000000.0,20654000000.0,20306000000.0,19197000000.0,
Net PPE,136268000000.0,109881000000.0,92191000000.0,69964000000.0,
Accumulated Depreciation,-43317000000.0,-33134000000.0,-24975000000.0,-20080000000.0,
Gross PPE,179585000000.0,143015000000.0,117166000000.0,90044000000.0,
Leases,7293000000.0,6972000000.0,6522000000.0,5795000000.0,
Construction In Progress,26802000000.0,24269000000.0,25052000000.0,14687000000.0,
Other Properties,95853000000.0,71733000000.0,55998000000.0,45343000000.0,
Machinery Furniture Equipment,,,,25584000000.0,20544000000.0
Buildings And Improvements,47076000000.0,37961000000.0,27720000000.0,22531000000.0,
Land And Improvements,2561000000.0,2080000000.0,1874000000.0,1688000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,100045000000.0,85365000000.0,59549000000.0,66666000000.0,
Other Current Assets,5236000000.0,3793000000.0,5345000000.0,4629000000.0,
Prepaid Assets,,,,4629000000.0,2381000000.0
Receivables,16994000000.0,16169000000.0,13466000000.0,14039000000.0,
Accounts Receivable,16994000000.0,16169000000.0,13466000000.0,14039000000.0,
Allowance For Doubtful Accounts Receivable,,,,,-114000000.0
Gross Accounts Receivable,,,,,11449000000.0
Cash Cash Equivalents And Short Term Investments,77815000000.0,65403000000.0,40738000000.0,47998000000.0,
Other Short Term Investments,33926000000.0,23541000000.0,26057000000.0,31397000000.0,
Cash And Cash Equivalents,43889000000.0,41862000000.0,14681000000.0,16601000000.0,
Cash Equivalents,36671000000.0,35597000000.0,8505000000.0,9293000000.0,
Cash Financial,7218000000.0,6265000000.0,6176000000.0,7308000000.0,
