,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,54072000000.0,44068000000.0,19289000000.0,38993000000.0,
Repurchase Of Capital Stock,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,
Repayment Of Debt,-1969000000.0,-1058000000.0,-850000000.0,-677000000.0,
Issuance Of Debt,10432000000.0,8455000000.0,9921000000.0,0.0,
Capital Expenditure,-37256000000.0,-27045000000.0,-31186000000.0,-18690000000.0,
Interest Paid Supplemental Data,486000000.0,448000000.0,0.0,0.0,
Income Tax Paid Supplemental Data,10554000000.0,6607000000.0,6407000000.0,8525000000.0,
End Cash Position,45438000000.0,42827000000.0,15596000000.0,16865000000.0,
Beginning Cash Position,42827000000.0,15596000000.0,16865000000.0,17954000000.0,
Effect Of Exchange Rate Changes,-786000000.0,113000000.0,-638000000.0,-474000000.0,
Changes In Cash,3397000000.0,27118000000.0,-631000000.0,-615000000.0,
Financing Cash Flow,-40781000000.0,-19500000000.0,-22136000000.0,-50728000000.0,
Cash Flow From Continuing Financing Activities,-40781000000.0,-19500000000.0,-22136000000.0,-50728000000.0,
Net Other Financing Charges,-14047000000.0,-7123000000.0,-3251000000.0,-5514000000.0,
Cash Dividends Paid,-5072000000.0,0.0,0.0,,
Common Stock Dividend Paid,-5072000000.0,0.0,0.0,,
Net Common Stock Issuance,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,
Common Stock Payments,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,
Net Issuance Payments Of Debt,8463000000.0,7397000000.0,9071000000.0,-677000000.0,
Net Short Term Debt Issuance,,,,14000000.0,24000000.0
Net Long Term Debt Issuance,8463000000.0,7397000000.0,9071000000.0,-677000000.0,
Long Term Debt Payments,-1969000000.0,-1058000000.0,-850000000.0,-677000000.0,
Long Term Debt Issuance,10432000000.0,8455000000.0,9921000000.0,0.0,
Investing Cash Flow,-47150000000.0,-24495000000.0,-28970000000.0,-7570000000.0,
Cash Flow From Continuing Investing Activities,-47150000000.0,-24495000000.0,-28970000000.0,-7570000000.0,
Net Other Investing Changes,129000000.0,-23000000.0,-4000000.0,-331000000.0,
Net Investment Purchase And Sale,-9753000000.0,3202000000.0,3532000000.0,12179000000.0,
Sale Of Investment,15789000000.0,6184000000.0,13158000000.0,42586000000.0,
Purchase Of Investment,-25542000000.0,-2982000000.0,-9626000000.0,-30407000000.0,
Net Business Purchase And Sale,-270000000.0,-629000000.0,-1312000000.0,-851000000.0,
Purchase Of Business,-270000000.0,-629000000.0,-1312000000.0,-851000000.0,
Net PPE Purchase And Sale,-37256000000.0,-27045000000.0,-31186000000.0,-18567000000.0,
Sale Of PPE,,221000000.0,245000000.0,123000000.0,48000000.0
Purchase Of PPE,-37256000000.0,-27045000000.0,-31186000000.0,-18690000000.0,
Operating Cash Flow,91328000000.0,71113000000.0,50475000000.0,57683000000.0,
Cash Flow From Continuing Operating Activities,91328000000.0,71113000000.0,50475000000.0,57683000000.0,
Change In Working Capital,1048000000.0,3836000000.0,5683000000.0,700000000.0,
Change In Other Working Capital,,,,187000000.0,108000000.0
Change In Other Current Liabilities,2805000000.0,624000000.0,886000000.0,941000000.0,
Change In Other Current Assets,-270000000.0,-80000000.0,-106000000.0,-349000000.0,
Change In Payables And Accrued Expense,696000000.0,5132000000.0,4510000000.0,4968000000.0,
Change In Accrued Expense,323000000.0,5081000000.0,4300000000.0,3544000000.0,
Change In Payable,373000000.0,51000000.0,210000000.0,1424000000.0,
Change In Account Payable,373000000.0,51000000.0,210000000.0,1436000000.0,
Change In Prepaid Assets,-698000000.0,559000000.0,162000000.0,-1750000000.0,
Change In Receivables,-1485000000.0,-2399000000.0,231000000.0,-3110000000.0,
Changes In Account Receivables,-1485000000.0,-2399000000.0,231000000.0,-3110000000.0,
Other Non Cash Items,87000000.0,411000000.0,1982000000.0,-127000000.0,
Stock Based Compensation,16690000000.0,14027000000.0,11992000000.0,9164000000.0,
Unrealized Gain Loss On Investment Securities,,,463000000.0,-232000000.0,33000000.0
Asset Impairment Charge,383000000.0,2432000000.0,2218000000.0,0.0,
Deferred Tax,-4738000000.0,131000000.0,-3286000000.0,609000000.0,
Deferred Income Tax,-4738000000.0,131000000.0,-3286000000.0,609000000.0,
Depreciation Amortization Depletion,15498000000.0,11178000000.0,8686000000.0,7967000000.0,
Depreciation And Amortization,15498000000.0,11178000000.0,8686000000.0,7967000000.0,
Net Income From Continuing Operations,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
