,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-81420000.0,-64416000.0,-15795000.0,-23380000.0,
Tax Rate For Calcs,0.118,0.176,0.195,0.167,
Normalized EBITDA,87566000000.0,59418000000.0,37771000000.0,55414000000.0,
Total Unusual Items,-690000000.0,-366000000.0,-81000000.0,-140000000.0,
Total Unusual Items Excluding Goodwill,-690000000.0,-366000000.0,-81000000.0,-140000000.0,
Net Income From Continuing Operation Net Minority Interest,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Reconciled Depreciation,15498000000.0,11178000000.0,8686000000.0,7967000000.0,
Reconciled Cost Of Revenue,30161000000.0,25959000000.0,25249000000.0,22649000000.0,
EBITDA,86876000000.0,59052000000.0,37690000000.0,55274000000.0,
EBIT,71378000000.0,47874000000.0,29004000000.0,47307000000.0,
Net Interest Income,1973000000.0,1043000000.0,-44000000.0,671000000.0,
Interest Expense,715000000.0,446000000.0,185000000.0,23000000.0,
Interest Income,2517000000.0,1639000000.0,461000000.0,484000000.0,
Normalized Income,62968580000.0,39399584000.0,23265205000.0,39486620000.0,
Net Income From Continuing And Discontinued Operation,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Total Expenses,95121000000.0,88151000000.0,87665000000.0,71176000000.0,
Total Operating Income As Reported,69380000000.0,46751000000.0,28944000000.0,46753000000.0,
Diluted Average Shares,2614000000.0,2629000000.0,2702000000.0,2859000000.0,
Basic Average Shares,2534000000.0,2574000000.0,2687000000.0,2815000000.0,
Diluted EPS,23.86,14.87,8.59,13.77,
Basic EPS,24.61,15.19,8.63,13.99,
Diluted NI Availto Com Stockholders,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Net Income Common Stockholders,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Otherunder Preferred Stock Dividend,,,,,0.0
Net Income,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Net Income Including Noncontrolling Interests,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Net Income Continuous Operations,62360000000.0,39098000000.0,23200000000.0,39370000000.0,
Tax Provision,8303000000.0,8330000000.0,5619000000.0,7914000000.0,
Pretax Income,70663000000.0,47428000000.0,28819000000.0,47284000000.0,
Other Income Expense,-690000000.0,-366000000.0,-81000000.0,-140000000.0,
Other Non Operating Income Expenses,,,-320000000.0,210000000.0,-34000000.0
Special Income Charges,,,,0.0,0.0
Gain On Sale Of Security,-690000000.0,-366000000.0,-81000000.0,-140000000.0,
Net Non Operating Interest Income Expense,1973000000.0,1043000000.0,-44000000.0,671000000.0,
Total Other Finance Cost,-171000000.0,150000000.0,320000000.0,-210000000.0,
Interest Expense Non Operating,715000000.0,446000000.0,185000000.0,23000000.0,
Interest Income Non Operating,2517000000.0,1639000000.0,461000000.0,484000000.0,
Operating Income,69380000000.0,46751000000.0,28944000000.0,46753000000.0,
Operating Expense,64960000000.0,62192000000.0,62416000000.0,48527000000.0,
Research And Development,43873000000.0,38483000000.0,35338000000.0,24655000000.0,
Selling General And Administration,21087000000.0,23709000000.0,27078000000.0,23872000000.0,
Selling And Marketing Expense,11347000000.0,12301000000.0,15262000000.0,14043000000.0,
General And Administrative Expense,9740000000.0,11408000000.0,11816000000.0,9829000000.0,
Other Gand A,9740000000.0,11408000000.0,11816000000.0,9829000000.0,
Gross Profit,134340000000.0,108943000000.0,91360000000.0,95280000000.0,
Cost Of Revenue,30161000000.0,25959000000.0,25249000000.0,22649000000.0,
Total Revenue,164501000000.0,134902000000.0,116609000000.0,117929000000.0,
Operating Revenue,162779000000.0,133844000000.0,115801000000.0,117208000000.0,
