,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,,,,13800000000.0
Ordinary Shares Number,24640000000.0,24661365720.0,25060000000.0,24800000000.0
Share Issued,24640000000.0,24661365720.0,25060000000.0,38600000000.0
Net Debt,2429000000.0,7564000000.0,8956000000.0,6116000000.0
Total Debt,11056000000.0,12031000000.0,11831000000.0,7597000000.0
Tangible Book Value,37436000000.0,16053000000.0,19924000000.0,9963000000.0
Invested Capital,52687000000.0,33054000000.0,37558000000.0,23856000000.0
Working Capital,33714000000.0,16510000000.0,24494000000.0,12130000000.0
Net Tangible Assets,37436000000.0,16053000000.0,19924000000.0,9963000000.0
Capital Lease Obligations,1347000000.0,1078000000.0,885000000.0,634000000.0
Common Stock Equity,42978000000.0,22101000000.0,26612000000.0,16893000000.0
Total Capitalization,51437000000.0,31804000000.0,37558000000.0,22857000000.0
Total Equity Gross Minority Interest,42978000000.0,22101000000.0,26612000000.0,16893000000.0
Stockholders Equity,42978000000.0,22101000000.0,26612000000.0,16893000000.0
Gains Losses Not Affecting Retained Earnings,27000000.0,-43000000.0,-11000000.0,19000000.0
Other Equity Adjustments,27000000.0,-43000000.0,-11000000.0,19000000.0
Treasury Stock,,,0.0,10756000000.0
Retained Earnings,29817000000.0,10171000000.0,16235000000.0,18908000000.0
Additional Paid In Capital,13132000000.0,11971000000.0,10385000000.0,8719000000.0
Capital Stock,2000000.0,2000000.0,3000000.0,3000000.0
Common Stock,2000000.0,2000000.0,3000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,22750000000.0,19081000000.0,17575000000.0,11898000000.0
Total Non Current Liabilities Net Minority Interest,12119000000.0,12518000000.0,13240000000.0,7973000000.0
Other Non Current Liabilities,65000000.0,63000000.0,49000000.0,135000000.0
Employee Benefits,,,,33000000.0
Tradeand Other Payables Non Current,1441000000.0,1385000000.0,1057000000.0,836000000.0
Non Current Deferred Liabilities,1035000000.0,465000000.0,447000000.0,404000000.0
Non Current Deferred Revenue,573000000.0,218000000.0,202000000.0,163000000.0
