,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,-284130000.0,0.0,0.0
Tax Rate For Calcs,0.12,0.21,0.019,0.017
Normalized EBITDA,35583000000.0,7340000000.0,11351000000.0,5691000000.0
Total Unusual Items,0.0,-1353000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1353000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Reconciled Depreciation,1508000000.0,1544000000.0,1174000000.0,1098000000.0
Reconciled Cost Of Revenue,16621000000.0,11618000000.0,9439000000.0,6279000000.0
EBITDA,35583000000.0,5987000000.0,11351000000.0,5691000000.0
EBIT,34075000000.0,4443000000.0,10177000000.0,4593000000.0
Net Interest Income,609000000.0,5000000.0,-207000000.0,-127000000.0
Interest Expense,257000000.0,262000000.0,236000000.0,184000000.0
Interest Income,866000000.0,267000000.0,29000000.0,57000000.0
Normalized Income,29760000000.0,5436870000.0,9752000000.0,4332000000.0
Net Income From Continuing And Discontinued Operation,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Total Expenses,27950000000.0,21397000000.0,16873000000.0,12143000000.0
Total Operating Income As Reported,32972000000.0,4224000000.0,10041000000.0,4532000000.0
Diluted Average Shares,24940000000.0,25070000000.0,25350000000.0,25120000000.0
Basic Average Shares,24690000000.0,24870000000.0,24960000000.0,24680000000.0
Diluted EPS,1.193,0.174,0.385,0.1725
Basic EPS,1.205,0.176,0.391,0.1755
Diluted NI Availto Com Stockholders,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Net Income Common Stockholders,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Net Income,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Net Income Including Noncontrolling Interests,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Net Income Continuous Operations,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Tax Provision,4058000000.0,-187000000.0,189000000.0,77000000.0
Pretax Income,33818000000.0,4181000000.0,9941000000.0,4409000000.0
Other Income Expense,237000000.0,-1401000000.0,107000000.0,4000000.0
Other Non Operating Income Expenses,237000000.0,-48000000.0,107000000.0,4000000.0
Special Income Charges,0.0,-1353000000.0,0.0,0.0
Restructuring And Mergern Acquisition,0.0,1353000000.0,0.0,0.0
Net Non Operating Interest Income Expense,609000000.0,5000000.0,-207000000.0,-127000000.0
Interest Expense Non Operating,257000000.0,262000000.0,236000000.0,184000000.0
Interest Income Non Operating,866000000.0,267000000.0,29000000.0,57000000.0
Operating Income,32972000000.0,5577000000.0,10041000000.0,4532000000.0
Operating Expense,11329000000.0,9779000000.0,7434000000.0,5864000000.0
Research And Development,8675000000.0,7339000000.0,5268000000.0,3924000000.0
Selling General And Administration,2654000000.0,2440000000.0,2166000000.0,1940000000.0
Gross Profit,44301000000.0,15356000000.0,17475000000.0,10396000000.0
Cost Of Revenue,16621000000.0,11618000000.0,9439000000.0,6279000000.0
Total Revenue,60922000000.0,26974000000.0,26914000000.0,16675000000.0
Operating Revenue,60922000000.0,26974000000.0,26914000000.0,16675000000.0
