,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,3216000000.0,3185000000.0,3164000000.0,3099000000.0,
Share Issued,3216000000.0,3185000000.0,3164000000.0,3099000000.0,
Total Debt,13623000000.0,9573000000.0,5748000000.0,8873000000.0,
Tangible Book Value,71443000000.0,62019000000.0,44111000000.0,28472000000.0,
Invested Capital,80791000000.0,67291000000.0,46749000000.0,35531000000.0,
Working Capital,29539000000.0,20868000000.0,14208000000.0,7395000000.0,
Net Tangible Assets,71443000000.0,62019000000.0,44111000000.0,28472000000.0,
Capital Lease Obligations,5745000000.0,4916000000.0,3703000000.0,3531000000.0,
Common Stock Equity,72913000000.0,62634000000.0,44704000000.0,30189000000.0,
Total Capitalization,78448000000.0,65316000000.0,45733000000.0,34443000000.0,
Total Equity Gross Minority Interest,73680000000.0,63609000000.0,45898000000.0,31583000000.0,
Minority Interest,767000000.0,975000000.0,1194000000.0,1394000000.0,
Stockholders Equity,72913000000.0,62634000000.0,44704000000.0,30189000000.0,
Gains Losses Not Affecting Retained Earnings,-670000000.0,-143000000.0,-361000000.0,54000000.0,
Other Equity Adjustments,-670000000.0,-143000000.0,-361000000.0,54000000.0,
Retained Earnings,35209000000.0,27882000000.0,12885000000.0,329000000.0,
Additional Paid In Capital,38371000000.0,34892000000.0,32177000000.0,29803000000.0,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,48390000000.0,43009000000.0,36440000000.0,30548000000.0,
Total Non Current Liabilities Net Minority Interest,19569000000.0,14261000000.0,9731000000.0,10843000000.0,
Other Non Current Liabilities,1093000000.0,876000000.0,686000000.0,320000000.0,
Preferred Securities Outside Stock Equity,,,,568000000.0,604000000.0
Non Current Accrued Expenses,,3606000000.0,2480000000.0,1398000000.0,989000000.0
Non Current Deferred Liabilities,3317000000.0,3251000000.0,2804000000.0,2076000000.0,
Non Current Deferred Revenue,3317000000.0,3251000000.0,2804000000.0,2052000000.0,
Non Current Deferred Taxes Liabilities,,,82000000.0,24000000.0,151000000.0
Long Term Debt And Capital Lease Obligation,10360000000.0,6528000000.0,3761000000.0,6916000000.0,
Long Term Capital Lease Obligation,4825000000.0,3846000000.0,2732000000.0,2662000000.0,
Long Term Debt,5535000000.0,2682000000.0,1029000000.0,4254000000.0,
Long Term Provisions,4799000000.0,3606000000.0,2480000000.0,1531000000.0,
Current Liabilities,28821000000.0,28748000000.0,26709000000.0,19705000000.0,
Other Current Liabilities,1549000000.0,517000000.0,354000000.0,310000000.0,
Current Deferred Liabilities,4161000000.0,3740000000.0,2810000000.0,2372000000.0,
Current Deferred Revenue,4161000000.0,3740000000.0,2810000000.0,2372000000.0,
Current Debt And Capital Lease Obligation,3263000000.0,3045000000.0,1987000000.0,1957000000.0,
Current Capital Lease Obligation,920000000.0,1070000000.0,971000000.0,869000000.0,
Current Debt,2343000000.0,1975000000.0,1016000000.0,1088000000.0,
Other Current Borrowings,2343000000.0,1975000000.0,1016000000.0,1088000000.0,
Line Of Credit,,0.0,0.0,,
Current Provisions,2222000000.0,1765000000.0,1295000000.0,968000000.0,
Payables And Accrued Expenses,17626000000.0,19681000000.0,20263000000.0,14098000000.0,
Current Accrued Expenses,3785000000.0,4046000000.0,3773000000.0,2951000000.0,
Interest Payable,,,,16000000.0,77000000.0
Payables,13841000000.0,15635000000.0,16490000000.0,11147000000.0,
Total Tax Payable,1367000000.0,1204000000.0,1235000000.0,1122000000.0,
Accounts Payable,12474000000.0,14431000000.0,15255000000.0,10025000000.0,
Total Assets,122070000000.0,106618000000.0,82338000000.0,62131000000.0,
Total Non Current Assets,63716000000.0,57003000000.0,41421000000.0,35027000000.0,
Other Non Current Assets,4215000000.0,4531000000.0,3865000000.0,2138000000.0,
Non Current Deferred Assets,6524000000.0,6733000000.0,328000000.0,,
Non Current Deferred Taxes Assets,6524000000.0,6733000000.0,328000000.0,,
Goodwill And Other Intangible Assets,1470000000.0,615000000.0,593000000.0,1717000000.0,
Other Intangible Assets,1226000000.0,362000000.0,399000000.0,1517000000.0,
Goodwill,244000000.0,253000000.0,194000000.0,200000000.0,
Net PPE,51507000000.0,45124000000.0,36635000000.0,31172000000.0,
Accumulated Depreciation,-18898000000.0,-15077000000.0,-11499000000.0,-8691000000.0,
Gross PPE,70405000000.0,60201000000.0,48134000000.0,39863000000.0,
Leases,3688000000.0,3136000000.0,2366000000.0,1826000000.0,
Construction In Progress,6783000000.0,5791000000.0,4281000000.0,5598000000.0,
Other Properties,14195000000.0,8819000000.0,5142000000.0,4204000000.0,
Machinery Furniture Equipment,28272000000.0,26087000000.0,21705000000.0,16647000000.0,
Land And Improvements,10677000000.0,9498000000.0,7751000000.0,4675000000.0,
Properties,6790000000.0,6870000000.0,6889000000.0,6913000000.0,
Current Assets,58360000000.0,49616000000.0,40917000000.0,27100000000.0,
Other Current Assets,5362000000.0,3388000000.0,2941000000.0,1723000000.0,
Prepaid Assets,,,,1723000000.0,1346000000.0
Inventory,12017000000.0,13626000000.0,12839000000.0,5757000000.0,
Other Inventories,1303000000.0,1171000000.0,842000000.0,575000000.0,
Finished Goods,3940000000.0,5049000000.0,3475000000.0,1277000000.0,
Work In Process,1532000000.0,2016000000.0,2385000000.0,1089000000.0,
Raw Materials,5242000000.0,5390000000.0,6137000000.0,2816000000.0,
Receivables,4418000000.0,3508000000.0,2952000000.0,1913000000.0,
Accounts Receivable,4418000000.0,3508000000.0,2952000000.0,1913000000.0,
Cash Cash Equivalents And Short Term Investments,36563000000.0,29094000000.0,22185000000.0,17707000000.0,
Other Short Term Investments,20424000000.0,12696000000.0,5932000000.0,131000000.0,
Cash And Cash Equivalents,16139000000.0,16398000000.0,16253000000.0,17576000000.0,
Cash Equivalents,1753000000.0,495000000.0,2288000000.0,9548000000.0,
Cash Financial,14386000000.0,15903000000.0,13965000000.0,8028000000.0,
