,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-136800000.0,0.0,-14080000.0,2970000.0,
Tax Rate For Calcs,0.2,0.21,0.08,0.11,
Normalized EBITDA,15392000000.0,14796000000.0,17833000000.0,9598000000.0,
Total Unusual Items,-684000000.0,0.0,-176000000.0,27000000.0,
Total Unusual Items Excluding Goodwill,-684000000.0,0.0,-176000000.0,27000000.0,
Net Income From Continuing Operation Net Minority Interest,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
Reconciled Depreciation,5368000000.0,4667000000.0,3747000000.0,2911000000.0,
Reconciled Cost Of Revenue,80240000000.0,79113000000.0,60609000000.0,40217000000.0,
EBITDA,14708000000.0,14796000000.0,17657000000.0,9625000000.0,
EBIT,9340000000.0,10129000000.0,13910000000.0,6714000000.0,
Net Interest Income,1219000000.0,910000000.0,106000000.0,-315000000.0,
Interest Expense,350000000.0,156000000.0,191000000.0,371000000.0,
Interest Income,1569000000.0,1066000000.0,297000000.0,56000000.0,
Normalized Income,7677200000.0,14999000000.0,12744920000.0,5499970000.0,
Net Income From Continuing And Discontinued Operation,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
Total Expenses,89930000000.0,87882000000.0,67630000000.0,47327000000.0,
Rent Expense Supplemental,1003000000.0,1268000000.0,1509000000.0,978000000.0,
Total Operating Income As Reported,7076000000.0,8891000000.0,13656000000.0,6523000000.0,
Diluted Average Shares,,3482750000.0,3475000000.0,3386000000.0,2880000000.0
Basic Average Shares,,3173500000.0,3130000000.0,2959000000.0,2880000000.0
Diluted EPS,,4.31,3.62,1.63,0.213333
Basic EPS,,4.725697,4.02,1.87,0.246667
Diluted NI Availto Com Stockholders,7130000000.0,14999000000.0,12584000000.0,5533000000.0,
Average Dilution Earnings,0.0,0.0,1000000.0,9000000.0,
Net Income Common Stockholders,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
Otherunder Preferred Stock Dividend,,,,-5000000.0,31000000.0
Net Income,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
Minority Interests,-23000000.0,25000000.0,-4000000.0,-120000000.0,
Net Income Including Noncontrolling Interests,7153000000.0,14974000000.0,12587000000.0,5644000000.0,
Net Income Continuous Operations,7153000000.0,14974000000.0,12587000000.0,5644000000.0,
Tax Provision,1837000000.0,-5001000000.0,1132000000.0,699000000.0,
Pretax Income,8990000000.0,9973000000.0,13719000000.0,6343000000.0,
Other Income Expense,11000000.0,172000000.0,-219000000.0,162000000.0,
Other Non Operating Income Expenses,695000000.0,172000000.0,-43000000.0,135000000.0,
Special Income Charges,-684000000.0,0.0,-176000000.0,27000000.0,
Restructuring And Mergern Acquisition,684000000.0,0.0,176000000.0,-27000000.0,
Net Non Operating Interest Income Expense,1219000000.0,910000000.0,106000000.0,-315000000.0,
Interest Expense Non Operating,350000000.0,156000000.0,191000000.0,371000000.0,
Interest Income Non Operating,1569000000.0,1066000000.0,297000000.0,56000000.0,
Operating Income,7760000000.0,8891000000.0,13832000000.0,6496000000.0,
Operating Expense,9690000000.0,8769000000.0,7021000000.0,7110000000.0,
Research And Development,4540000000.0,3969000000.0,3075000000.0,2593000000.0,
Selling General And Administration,5150000000.0,4800000000.0,3946000000.0,4517000000.0,
Gross Profit,17450000000.0,17660000000.0,20853000000.0,13606000000.0,
Cost Of Revenue,80240000000.0,79113000000.0,60609000000.0,40217000000.0,
Total Revenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,
Operating Revenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,
