,NVDA,NVDA,NVDA,NVDA,MSFT,MSFT,MSFT,MSFT,MSFT,META,META,META,META,META,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN
,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
Free Cash Flow,27021000000.0,3808000000.0,8132000000.0,4694000000.0,74071000000.0,59475000000.0,65149000000.0,56118000000.0,,54072000000.0,44068000000.0,19289000000.0,38993000000.0,,3581000000.0,4357000000.0,7552000000.0,3483000000.0,,69495000000.0,60010000000.0,67012000000.0,42843000000.0,32217000000.0,-16893000000.0,-14726000000.0,25924000000.0
Repurchase Of Capital Stock,-9533000000.0,-10039000000.0,0.0,0.0,-17254000000.0,-22245000000.0,-32696000000.0,-27385000000.0,,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,,,,,,,-61504000000.0,-59296000000.0,-50274000000.0,-31149000000.0,0.0,-6000000000.0,0.0,0.0
Repayment Of Debt,-1250000000.0,0.0,-1000000000.0,0.0,-29070000000.0,-2750000000.0,-9023000000.0,-3750000000.0,,-1969000000.0,-1058000000.0,-850000000.0,-677000000.0,,-2881000000.0,-1815000000.0,-3866000000.0,-14615000000.0,,-11550000000.0,-54068000000.0,-21435000000.0,-2100000000.0,-34008000000.0,-47001000000.0,-20668000000.0,-18425000000.0
Issuance Of Debt,0.0,0.0,4977000000.0,4968000000.0,29645000000.0,0.0,0.0,,0.0,10432000000.0,8455000000.0,9921000000.0,0.0,,5744000000.0,3931000000.0,0.0,8883000000.0,,10790000000.0,52872000000.0,20199000000.0,11761000000.0,18129000000.0,62719000000.0,26959000000.0,17321000000.0
Capital Expenditure,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,,-37256000000.0,-27045000000.0,-31186000000.0,-18690000000.0,,-11342000000.0,-8899000000.0,-7172000000.0,-8014000000.0,,-32251000000.0,-31485000000.0,-24640000000.0,-22281000000.0,-52729000000.0,-63645000000.0,-61053000000.0,-40140000000.0
Interest Paid Supplemental Data,252000000.0,254000000.0,246000000.0,138000000.0,,,,,,486000000.0,448000000.0,0.0,0.0,,277000000.0,126000000.0,152000000.0,266000000.0,,,,,,3112000000.0,2142000000.0,1772000000.0,1630000000.0
Income Tax Paid Supplemental Data,6549000000.0,1404000000.0,396000000.0,249000000.0,,,,,,10554000000.0,6607000000.0,6407000000.0,8525000000.0,,1331000000.0,1119000000.0,1203000000.0,561000000.0,,19164000000.0,18892000000.0,13412000000.0,4990000000.0,11179000000.0,6035000000.0,3688000000.0,1713000000.0
End Cash Position,7280000000.0,3389000000.0,1990000000.0,847000000.0,18315000000.0,34704000000.0,13931000000.0,14224000000.0,,45438000000.0,42827000000.0,15596000000.0,16865000000.0,,17037000000.0,17189000000.0,16924000000.0,18144000000.0,,24048000000.0,21879000000.0,20945000000.0,26465000000.0,73890000000.0,54253000000.0,36477000000.0,42377000000.0
Beginning Cash Position,3389000000.0,1990000000.0,847000000.0,10896000000.0,34704000000.0,13931000000.0,14224000000.0,13576000000.0,,42827000000.0,15596000000.0,16865000000.0,17954000000.0,,17189000000.0,16924000000.0,18144000000.0,19901000000.0,,21879000000.0,20945000000.0,26465000000.0,18498000000.0,54253000000.0,36477000000.0,42377000000.0,36410000000.0
Changes In Cash,3891000000.0,1399000000.0,1143000000.0,-10049000000.0,-16179000000.0,20967000000.0,-152000000.0,677000000.0,,3397000000.0,27118000000.0,-631000000.0,-615000000.0,,-11000000.0,261000000.0,-776000000.0,-1574000000.0,,2590000000.0,1440000000.0,-5233000000.0,7943000000.0,19234000000.0,18869000000.0,-5536000000.0,5349000000.0
Financing Cash Flow,-13633000000.0,-11617000000.0,1865000000.0,3804000000.0,-37757000000.0,-43935000000.0,-58876000000.0,-48486000000.0,,-40781000000.0,-19500000000.0,-22136000000.0,-50728000000.0,,3853000000.0,2589000000.0,-3527000000.0,-5203000000.0,,-72093000000.0,-69757000000.0,-61362000000.0,-24408000000.0,-15879000000.0,9718000000.0,6291000000.0,-1104000000.0
Cash Flow From Continuing Financing Activities,-13633000000.0,-11617000000.0,1865000000.0,3804000000.0,-37757000000.0,-43935000000.0,-58876000000.0,-48486000000.0,,-40781000000.0,-19500000000.0,-22136000000.0,-50728000000.0,,3853000000.0,2589000000.0,-3527000000.0,-5203000000.0,,-72093000000.0,-69757000000.0,-61362000000.0,-24408000000.0,-15879000000.0,9718000000.0,6291000000.0,-1104000000.0
Net Other Financing Charges,-2858000000.0,-1535000000.0,-1994000000.0,-963000000.0,-1309000000.0,-1006000000.0,-863000000.0,-2523000000.0,,-14047000000.0,-7123000000.0,-3251000000.0,-5514000000.0,,-251000000.0,-227000000.0,-202000000.0,-178000000.0,,8000000.0,35000000.0,310000000.0,2800000000.0,-271000000.0,-248000000.0,-162000000.0,
Proceeds From Stock Option Exercised,403000000.0,355000000.0,281000000.0,194000000.0,,,,,,,,,,,1241000000.0,700000000.0,541000000.0,707000000.0,,-9837000000.0,-9300000000.0,-10162000000.0,-5720000000.0,,,,
Cash Dividends Paid,-395000000.0,-398000000.0,-399000000.0,-395000000.0,-21771000000.0,-19800000000.0,-18135000000.0,-16521000000.0,,-5072000000.0,0.0,0.0,,,,,,,,,,,,,,,
Common Stock Dividend Paid,,-398000000.0,-399000000.0,-395000000.0,-21771000000.0,-19800000000.0,-18135000000.0,-16521000000.0,,-5072000000.0,0.0,0.0,,,,,,,,,,,,,,,
Net Common Stock Issuance,-9533000000.0,-10039000000.0,0.0,0.0,-15252000000.0,-20379000000.0,-30855000000.0,-25692000000.0,,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,,,,0.0,0.0,12269000000.0,-61504000000.0,-59296000000.0,-50274000000.0,-31149000000.0,0.0,-6000000000.0,0.0,0.0
Common Stock Payments,-9533000000.0,-10039000000.0,0.0,0.0,-17254000000.0,-22245000000.0,-32696000000.0,-27385000000.0,,-30125000000.0,-19774000000.0,-27956000000.0,-44537000000.0,,,,,,,-61504000000.0,-59296000000.0,-50274000000.0,-31149000000.0,0.0,-6000000000.0,0.0,0.0
Net Issuance Payments Of Debt,-1250000000.0,0.0,3977000000.0,4968000000.0,575000000.0,-2750000000.0,-9023000000.0,-3750000000.0,,8463000000.0,7397000000.0,9071000000.0,-677000000.0,,2863000000.0,2116000000.0,-3866000000.0,-5732000000.0,,-760000000.0,-1196000000.0,-1236000000.0,9661000000.0,-15879000000.0,15718000000.0,6291000000.0,-1104000000.0
Net Long Term Debt Issuance,-1250000000.0,0.0,3977000000.0,4968000000.0,-4675000000.0,-2750000000.0,-9023000000.0,-3750000000.0,,8463000000.0,7397000000.0,9071000000.0,-677000000.0,,2863000000.0,2116000000.0,-3866000000.0,-5732000000.0,,-760000000.0,-1196000000.0,-1236000000.0,9661000000.0,-8331000000.0,11719000000.0,6088000000.0,-1723000000.0
Long Term Debt Payments,-1250000000.0,0.0,-1000000000.0,0.0,-29070000000.0,-2750000000.0,-9023000000.0,-3750000000.0,,-1969000000.0,-1058000000.0,-850000000.0,-677000000.0,,-2881000000.0,-1815000000.0,-3866000000.0,-14615000000.0,,-11550000000.0,-54068000000.0,-21435000000.0,-2100000000.0,-8331000000.0,-9447000000.0,-12915000000.0,-12248000000.0
Long Term Debt Issuance,0.0,0.0,4977000000.0,4968000000.0,24395000000.0,0.0,0.0,,0.0,10432000000.0,8455000000.0,9921000000.0,0.0,,5744000000.0,3931000000.0,0.0,8883000000.0,,10790000000.0,52872000000.0,20199000000.0,11761000000.0,0.0,21166000000.0,19003000000.0,10525000000.0
Investing Cash Flow,-10566000000.0,7375000000.0,-9830000000.0,-19675000000.0,-96970000000.0,-22680000000.0,-30311000000.0,-27577000000.0,,-47150000000.0,-24495000000.0,-28970000000.0,-7570000000.0,,-18787000000.0,-15584000000.0,-11973000000.0,-7868000000.0,,-27063000000.0,-20298000000.0,-35523000000.0,-32773000000.0,-49833000000.0,-37601000000.0,-58154000000.0,-59611000000.0
Cash Flow From Continuing Investing Activities,-10566000000.0,7375000000.0,-9830000000.0,-19675000000.0,-96970000000.0,-22680000000.0,-30311000000.0,-27577000000.0,,-47150000000.0,-24495000000.0,-28970000000.0,-7570000000.0,,-18787000000.0,-15584000000.0,-11973000000.0,-7868000000.0,,-27063000000.0,-20298000000.0,-35523000000.0,-32773000000.0,-49833000000.0,-37601000000.0,-58154000000.0,-59611000000.0
Net Investment Purchase And Sale,-9414000000.0,9257000000.0,-8591000000.0,-10023000000.0,17937000000.0,10213000000.0,18438000000.0,2876000000.0,,-9753000000.0,3202000000.0,3532000000.0,12179000000.0,,-7445000000.0,-6621000000.0,-5813000000.0,-132000000.0,,6734000000.0,16567000000.0,-8806000000.0,-9822000000.0,4139000000.0,29036000000.0,-773000000.0,-22242000000.0
Sale Of Investment,9782000000.0,21231000000.0,16220000000.0,9319000000.0,35669000000.0,47864000000.0,44894000000.0,65800000000.0,,15789000000.0,6184000000.0,13158000000.0,42586000000.0,,28510000000.0,12491000000.0,22000000.0,0.0,,87619000000.0,97972000000.0,129228000000.0,133929000000.0,5627000000.0,31601000000.0,59384000000.0,50237000000.0
Purchase Of Investment,-19196000000.0,-11974000000.0,-24811000000.0,-19342000000.0,-17732000000.0,-37651000000.0,-26456000000.0,-62924000000.0,,-25542000000.0,-2982000000.0,-9626000000.0,-30407000000.0,,-35955000000.0,-19112000000.0,-5835000000.0,-132000000.0,,-80885000000.0,-81405000000.0,-138034000000.0,-143751000000.0,-1488000000.0,-2565000000.0,-60157000000.0,-72479000000.0
Net Business Purchase And Sale,-83000000.0,-49000000.0,-263000000.0,-8524000000.0,-69132000000.0,-1670000000.0,-22038000000.0,-8909000000.0,,-270000000.0,-629000000.0,-1312000000.0,-851000000.0,,0.0,-64000000.0,0.0,0.0,,-495000000.0,-6969000000.0,-2618000000.0,-738000000.0,-5839000000.0,-8316000000.0,-1985000000.0,-2325000000.0
Purchase Of Business,-83000000.0,-49000000.0,-263000000.0,-8524000000.0,-69132000000.0,-1670000000.0,-22038000000.0,-8909000000.0,,-270000000.0,-629000000.0,-1312000000.0,-851000000.0,,0.0,-64000000.0,0.0,0.0,,-495000000.0,-6969000000.0,-2618000000.0,-738000000.0,-5839000000.0,-8316000000.0,-1985000000.0,-2325000000.0
Net PPE Purchase And Sale,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,,-37256000000.0,-27045000000.0,-31186000000.0,-18567000000.0,,-11342000000.0,-8899000000.0,-7163000000.0,-6514000000.0,,-32251000000.0,-31485000000.0,-24640000000.0,-22281000000.0,-48133000000.0,-58321000000.0,-55396000000.0,-35044000000.0
Purchase Of PPE,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,,-37256000000.0,-27045000000.0,-31186000000.0,-18690000000.0,,-11342000000.0,-8899000000.0,-7163000000.0,-6514000000.0,,-32251000000.0,-31485000000.0,-24640000000.0,-22281000000.0,-52729000000.0,-63645000000.0,-61053000000.0,-40140000000.0
